,const,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,population_per_household,bedrooms_per_room,ocean_proximity_INLAND,ocean_proximity_ISLAND,ocean_proximity_NEAR BAY,ocean_proximity_NEAR OCEAN
6259,1.0,-117.95,34.05,35.0,1309.0,276.0,1113.0,253.0,4.375,5.173913043478261,4.399209486166008,0.2108479755538579,0,0,0,0
9633,1.0,-121.06,37.18,30.0,2603.0,507.0,1491.0,473.0,3.0909,5.503171247357294,3.1522198731501057,0.19477525931617365,1,0,0,0
18676,1.0,-121.9,36.93,22.0,7281.0,1233.0,1849.0,832.0,5.3276,8.751201923076923,2.222355769230769,0.16934487021013597,0,0,0,1
12491,1.0,-121.47,38.57,48.0,3136.0,926.0,1443.0,877.0,1.9034,3.5758266818700113,1.645381984036488,0.29528061224489793,1,0,0,0
15574,1.0,-116.78,33.0,7.0,12480.0,1946.0,5102.0,1697.0,5.5102,7.3541543901001765,3.006482027106659,0.15592948717948718,0,0,0,0
7321,1.0,-118.18,33.99,38.0,1010.0,315.0,1157.0,301.0,1.6341,3.355481727574751,3.8438538205980066,0.3118811881188119,0,0,0,0
11199,1.0,-117.9,33.83,23.0,2459.0,689.0,2720.0,598.0,2.8072,4.1120401337792645,4.548494983277592,0.280195201301342,0,0,0,0
9335,1.0,-122.7,38.03,42.0,1410.0,308.0,624.0,292.0,4.1379,4.828767123287672,2.136986301369863,0.21843971631205675,0,0,0,1
2056,1.0,-119.67,36.65,20.0,2512.0,449.0,1464.0,450.0,3.9211,5.582222222222223,3.2533333333333334,0.1787420382165605,1,0,0,0
4028,1.0,-118.56,34.18,39.0,1819.0,291.0,770.0,278.0,5.4088,6.543165467625899,2.7697841726618706,0.159978009895547,0,0,0,0
7630,1.0,-118.28,33.83,18.0,5923.0,1409.0,3887.0,1322.0,3.4712,4.4803328290468984,2.9402420574886534,0.23788620631436772,0,0,0,0
19780,1.0,-122.68,41.15,32.0,817.0,206.0,224.0,89.0,3.631,9.179775280898877,2.5168539325842696,0.2521419828641371,1,0,0,0
13894,1.0,-116.35,34.13,9.0,1969.0,406.0,805.0,349.0,1.5491,5.641833810888252,2.306590257879656,0.20619603859827323,1,0,0,0
12332,1.0,-116.47,33.94,18.0,2233.0,471.0,919.0,388.0,3.2578,5.755154639175258,2.368556701030928,0.2109270040304523,1,0,0,0
2668,1.0,-115.46,33.19,33.0,1234.0,373.0,777.0,298.0,1.0,4.140939597315437,2.6073825503355703,0.30226904376012964,1,0,0,0
20080,1.0,-120.43,38.02,15.0,1613.0,299.0,655.0,251.0,3.6875,6.426294820717131,2.6095617529880477,0.18536887786732795,1,0,0,0
7963,1.0,-118.19,33.86,42.0,1999.0,431.0,1060.0,399.0,3.7031,5.010025062656641,2.656641604010025,0.21560780390195097,0,0,0,0
9795,1.0,-121.84,36.52,18.0,3165.0,533.0,1312.0,434.0,6.5234,7.292626728110599,3.0230414746543777,0.1684044233807267,0,0,0,1
10196,1.0,-117.94,33.86,35.0,1235.0,227.0,875.0,220.0,4.6964,5.613636363636363,3.977272727272727,0.18380566801619433,0,0,0,0
13304,1.0,-117.63,34.09,19.0,3490.0,816.0,2818.0,688.0,2.8977,5.0726744186046515,4.09593023255814,0.233810888252149,1,0,0,0
8870,1.0,-118.4,34.06,52.0,2501.0,362.0,748.0,349.0,6.6343,7.166189111747851,2.1432664756446993,0.1447421031587365,0,0,0,0
20506,1.0,-118.73,34.29,8.0,4983.0,754.0,2510.0,725.0,6.9454,6.873103448275862,3.462068965517241,0.1513144691952639,0,0,0,0
20383,1.0,-118.95,34.19,24.0,2719.0,434.0,1318.0,424.0,4.675,6.412735849056604,3.108490566037736,0.15961750643618977,0,0,0,0
11680,1.0,-118.0,33.84,30.0,1549.0,325.0,885.0,299.0,4.0039,5.1806020066889635,2.959866220735786,0.20981278244028406,0,0,0,0
4801,1.0,-118.36,34.03,38.0,1400.0,376.0,1139.0,315.0,2.2368,4.444444444444445,3.615873015873016,0.26857142857142857,0,0,0,0
11093,1.0,-117.87,33.84,10.0,3381.0,729.0,1584.0,636.0,5.3812,5.316037735849057,2.490566037735849,0.21561668145519078,0,0,0,0
12476,1.0,-121.48,38.58,48.0,2434.0,744.0,1281.0,662.0,1.6277,3.676737160120846,1.9350453172205437,0.3056696795398521,1,0,0,0
5240,1.0,-118.24,33.93,32.0,1063.0,282.0,992.0,253.0,0.8984,4.201581027667984,3.9209486166007905,0.26528692380056446,0,0,0,0
14736,1.0,-117.04,32.81,12.0,2880.0,406.0,1381.0,418.0,6.5412,6.889952153110048,3.3038277511961724,0.14097222222222222,0,0,0,0
10585,1.0,-117.82,33.72,24.0,3477.0,462.0,1593.0,484.0,6.8634,7.183884297520661,3.291322314049587,0.13287316652286454,0,0,0,0
18191,1.0,-122.01,37.37,25.0,2213.0,360.0,1066.0,390.0,7.2165,5.674358974358975,2.7333333333333334,0.16267510167193855,0,0,0,0
814,1.0,-122.03,37.61,37.0,1383.0,259.0,808.0,241.0,4.0125,5.738589211618257,3.3526970954356847,0.18727404193781635,0,0,1,0
16373,1.0,-121.29,38.04,16.0,2128.0,441.0,1860.0,459.0,3.1779,4.636165577342048,4.052287581699346,0.20723684210526316,1,0,0,0
10675,1.0,-117.77,33.54,28.0,3404.0,497.0,1134.0,466.0,7.2217,7.304721030042918,2.4334763948497855,0.14600470035252644,0,0,0,0
12037,1.0,-117.49,33.93,26.0,2970.0,576.0,2156.0,558.0,3.9522,5.32258064516129,3.8637992831541217,0.19393939393939394,1,0,0,0
20089,1.0,-120.25,38.03,21.0,4924.0,966.0,1175.0,454.0,2.9457,10.845814977973568,2.5881057268722465,0.19618196588139725,1,0,0,0
18255,1.0,-122.09,37.38,34.0,1959.0,342.0,849.0,357.0,6.2884,5.487394957983193,2.3781512605042017,0.17457886676875958,0,0,1,0
19647,1.0,-120.84,37.47,11.0,2285.0,499.0,1468.0,471.0,2.7857,4.851380042462845,3.1167728237791934,0.21838074398249452,1,0,0,0
2472,1.0,-119.86,36.45,19.0,2439.0,462.0,1416.0,469.0,2.4474,5.20042643923241,3.0191897654584223,0.18942189421894218,1,0,0,0
10154,1.0,-117.9,33.88,28.0,2696.0,346.0,947.0,356.0,9.0055,7.573033707865169,2.6601123595505616,0.12833827893175073,0,0,0,0
10483,1.0,-117.68,33.59,8.0,2327.0,263.0,899.0,236.0,14.9009,9.860169491525424,3.809322033898305,0.11302105715513537,0,0,0,0
18159,1.0,-122.03,37.36,28.0,2490.0,345.0,948.0,361.0,6.4913,6.8975069252077565,2.6260387811634347,0.13855421686746988,0,0,0,0
16489,1.0,-121.18,38.07,21.0,2333.0,377.0,1073.0,332.0,4.8125,7.02710843373494,3.2319277108433737,0.16159451350192885,1,0,0,0
19681,1.0,-121.62,39.15,36.0,2321.0,455.0,1168.0,489.0,3.0962,4.746421267893661,2.3885480572597135,0.19603619129685482,1,0,0,0
13154,1.0,-121.5,36.81,20.0,1345.0,230.0,731.0,217.0,4.2333,6.1981566820276495,3.3686635944700463,0.17100371747211895,1,0,0,0
17306,1.0,-119.55,34.38,17.0,1951.0,368.0,681.0,350.0,2.7275,5.574285714285714,1.9457142857142857,0.18862121988723732,0,0,0,0
7054,1.0,-118.02,33.92,35.0,2075.0,424.0,1312.0,396.0,3.7969,5.23989898989899,3.313131313131313,0.20433734939759035,0,0,0,0
5895,1.0,-118.32,34.17,40.0,1868.0,356.0,799.0,403.0,2.9306,4.635235732009925,1.9826302729528535,0.1905781584582441,0,0,0,0
6758,1.0,-118.12,34.11,48.0,2124.0,319.0,785.0,319.0,5.2131,6.658307210031348,2.4608150470219434,0.1501883239171375,0,0,0,0
16474,1.0,-121.25,38.14,16.0,1174.0,242.0,464.0,261.0,2.3,4.498084291187739,1.7777777777777777,0.2061328790459966,1,0,0,0
10118,1.0,-117.92,33.94,27.0,4566.0,620.0,2045.0,664.0,5.583,6.876506024096385,3.0798192771084336,0.1357862461673237,0,0,0,0
2852,1.0,-118.96,35.38,41.0,2417.0,435.0,973.0,406.0,3.0568,5.95320197044335,2.396551724137931,0.17997517583781547,1,0,0,0
16868,1.0,-122.39,37.6,36.0,1770.0,499.0,1225.0,459.0,2.56,3.8562091503267975,2.6688453159041394,0.28192090395480224,0,0,0,1
1658,1.0,-121.94,37.95,18.0,2541.0,355.0,986.0,346.0,7.1978,7.34393063583815,2.8497109826589595,0.13970877607241244,1,0,0,0
1315,1.0,-121.79,37.99,18.0,3646.0,534.0,1651.0,535.0,5.7321,6.814953271028037,3.085981308411215,0.14646187602852442,1,0,0,0
5539,1.0,-118.42,33.96,24.0,4393.0,966.0,1257.0,579.0,5.0714,7.587219343696027,2.1709844559585494,0.2198952879581152,0,0,0,0
1176,1.0,-121.55,39.5,26.0,3215.0,827.0,2041.0,737.0,1.0585,4.3622795115332424,2.7693351424694708,0.2572317262830482,1,0,0,0
4560,1.0,-118.26,34.04,6.0,1529.0,566.0,1051.0,473.0,2.462,3.2325581395348837,2.221987315010571,0.3701765860039241,0,0,0,0
8403,1.0,-118.37,33.94,29.0,2265.0,813.0,3425.0,781.0,2.3675,2.9001280409731116,4.3854033290653005,0.35894039735099337,0,0,0,0
10348,1.0,-117.66,33.6,24.0,1684.0,232.0,781.0,230.0,6.8667,7.321739130434783,3.3956521739130436,0.1377672209026128,0,0,0,0
16401,1.0,-121.23,37.98,27.0,849.0,137.0,373.0,131.0,5.0362,6.480916030534351,2.8473282442748094,0.16136631330977622,1,0,0,0
10679,1.0,-117.8,33.52,50.0,1152.0,341.0,519.0,225.0,3.053,5.12,2.3066666666666666,0.2960069444444444,0,0,0,0
9015,1.0,-118.68,34.13,9.0,11251.0,1594.0,3029.0,1227.0,6.7273,9.169519152404238,2.4686226568867156,0.1416762954404053,0,0,0,0
7309,1.0,-118.19,33.98,34.0,1022.0,286.0,1058.0,275.0,2.6042,3.7163636363636363,3.847272727272727,0.27984344422700586,0,0,0,0
11422,1.0,-117.98,33.71,24.0,3430.0,548.0,1601.0,512.0,5.6825,6.69921875,3.126953125,0.1597667638483965,0,0,0,0
13591,1.0,-117.29,34.11,35.0,2014.0,677.0,1714.0,612.0,0.7075,3.2908496732026142,2.8006535947712417,0.3361469712015889,1,0,0,0
8205,1.0,-118.16,33.78,33.0,2048.0,585.0,2074.0,597.0,2.0156,3.4304857621440537,3.474036850921273,0.28564453125,0,0,0,1
13530,1.0,-117.3,34.18,19.0,2526.0,381.0,1176.0,381.0,5.5136,6.6299212598425195,3.0866141732283463,0.1508313539192399,1,0,0,0
8196,1.0,-118.13,33.79,20.0,6678.0,1797.0,3625.0,1599.0,3.7716,4.176360225140713,2.2670419011882426,0.26909254267744837,0,0,0,1
3553,1.0,-118.61,34.22,24.0,5256.0,758.0,2474.0,780.0,7.3252,6.7384615384615385,3.1717948717948716,0.14421613394216135,0,0,0,0
20461,1.0,-118.75,34.28,22.0,3844.0,537.0,1665.0,492.0,6.2059,7.813008130081301,3.3841463414634148,0.13969823100936524,0,0,0,0
20452,1.0,-118.81,34.28,20.0,3678.0,684.0,1882.0,694.0,4.1607,5.29971181556196,2.711815561959654,0.1859706362153344,0,0,0,0
20135,1.0,-119.06,34.38,33.0,1465.0,262.0,731.0,266.0,3.9464,5.507518796992481,2.7481203007518795,0.178839590443686,0,0,0,0
16310,1.0,-121.33,38.01,27.0,1612.0,234.0,630.0,255.0,5.318,6.32156862745098,2.4705882352941178,0.14516129032258066,1,0,0,0
11867,1.0,-121.06,40.23,23.0,1127.0,225.0,215.0,85.0,3.4844,13.258823529411766,2.5294117647058822,0.19964507542147295,1,0,0,0
16927,1.0,-122.33,37.58,43.0,1772.0,422.0,1573.0,401.0,2.7474,4.418952618453865,3.9226932668329177,0.2381489841986456,0,0,0,1
8269,1.0,-118.16,33.77,30.0,4439.0,1105.0,1749.0,1011.0,3.8984,4.390702274975272,1.7299703264094954,0.24892993917548997,0,0,0,1
9056,1.0,-118.12,34.69,27.0,3019.0,501.0,1580.0,523.0,3.7804,5.772466539196941,3.0210325047801145,0.16594898973169925,1,0,0,0
17805,1.0,-121.87,37.38,16.0,1050.0,245.0,722.0,228.0,4.5187,4.605263157894737,3.1666666666666665,0.23333333333333334,0,0,0,0
4646,1.0,-118.31,34.06,34.0,1848.0,667.0,1351.0,589.0,2.0547,3.1375212224108657,2.293718166383701,0.36093073593073594,0,0,0,0
4418,1.0,-118.25,34.09,52.0,3142.0,765.0,1728.0,682.0,3.1864,4.607038123167156,2.533724340175953,0.243475493316359,0,0,0,0
11826,1.0,-121.04,39.0,21.0,4059.0,730.0,1874.0,693.0,4.8051,5.857142857142857,2.704184704184704,0.17984725301798474,1,0,0,0
7868,1.0,-118.12,33.88,40.0,2344.0,571.0,1305.0,544.0,3.1923,4.3088235294117645,2.3988970588235294,0.24360068259385664,0,0,0,0
2153,1.0,-119.8,36.77,52.0,2964.0,512.0,1114.0,486.0,3.8105,6.098765432098766,2.292181069958848,0.17273954116059378,1,0,0,0
4497,1.0,-118.22,34.05,41.0,1422.0,478.0,1640.0,434.0,1.6122,3.2764976958525347,3.7788018433179724,0.3361462728551336,0,0,0,0
2401,1.0,-119.12,36.69,13.0,3963.0,812.0,1905.0,671.0,2.2278,5.906110283159464,2.8390461997019374,0.20489528135251073,1,0,0,0
14802,1.0,-117.16,32.58,36.0,1940.0,399.0,1076.0,382.0,3.3906,5.0785340314136125,2.816753926701571,0.2056701030927835,0,0,0,1
15612,1.0,-116.76,32.74,14.0,4085.0,751.0,2129.0,688.0,4.7367,5.9375,3.0944767441860463,0.18384332925336597,0,0,0,0
16679,1.0,-120.64,35.15,7.0,7922.0,1442.0,2863.0,1197.0,4.849,6.618212197159566,2.391812865497076,0.18202474122696288,0,0,0,0
1187,1.0,-121.53,39.44,26.0,1340.0,255.0,662.0,239.0,2.6071,5.606694560669456,2.7698744769874475,0.19029850746268656,1,0,0,0
14242,1.0,-117.09,32.69,20.0,1102.0,205.0,852.0,217.0,3.1833,5.078341013824885,3.9262672811059907,0.18602540834845735,0,0,0,1
13723,1.0,-117.18,34.06,28.0,699.0,180.0,432.0,168.0,2.1875,4.160714285714286,2.5714285714285716,0.2575107296137339,1,0,0,0
14308,1.0,-117.13,32.71,37.0,1220.0,325.0,1472.0,323.0,1.825,3.777089783281734,4.557275541795666,0.26639344262295084,0,0,0,1
2031,1.0,-119.75,36.72,22.0,3247.0,859.0,4179.0,881.0,1.3343,3.6855845629965946,4.743473325766175,0.26455189405605173,1,0,0,0
18399,1.0,-121.76,37.23,16.0,4274.0,715.0,2240.0,704.0,5.4218,6.0710227272727275,3.1818181818181817,0.16729059429106224,0,0,0,0
5468,1.0,-118.47,33.99,52.0,2167.0,622.0,1095.0,570.0,2.8514,3.8017543859649123,1.9210526315789473,0.2870327641901246,0,0,0,0
10314,1.0,-117.82,33.85,21.0,2603.0,404.0,1350.0,390.0,6.057,6.674358974358975,3.4615384615384617,0.15520553207837112,0,0,0,0
16762,1.0,-122.49,37.68,35.0,2405.0,461.0,1583.0,471.0,5.0659,5.10615711252654,3.3609341825902335,0.1916839916839917,0,0,0,1
11394,1.0,-117.96,33.74,19.0,1783.0,415.0,1025.0,383.0,4.1484,4.655352480417754,2.6762402088772848,0.2327537857543466,0,0,0,0
9654,1.0,-120.65,36.98,26.0,1787.0,364.0,1548.0,362.0,1.7188,4.93646408839779,4.276243093922652,0.20369334079462786,1,0,0,0
5465,1.0,-118.48,33.99,46.0,2219.0,686.0,1107.0,590.0,2.5523,3.7610169491525425,1.876271186440678,0.30914826498422715,0,0,0,0
20092,1.0,-120.19,38.03,17.0,8651.0,1579.0,2071.0,757.0,3.1076,11.428005284015851,2.7357992073976223,0.18252225176280198,1,0,0,0
11913,1.0,-117.43,33.96,28.0,3747.0,651.0,2399.0,646.0,3.8682,5.80030959752322,3.7136222910216716,0.17373899119295436,1,0,0,0
10429,1.0,-117.65,33.42,25.0,2174.0,428.0,603.0,352.0,3.3967,6.176136363636363,1.7130681818181819,0.1968721251149954,0,0,0,1
15732,1.0,-122.44,37.78,52.0,2747.0,736.0,1309.0,653.0,2.943,4.206738131699847,2.004594180704441,0.26792864943574807,0,0,1,0
18770,1.0,-122.31,40.45,25.0,2596.0,557.0,1536.0,549.0,2.0221,4.728597449908925,2.797814207650273,0.2145608628659476,1,0,0,0
6484,1.0,-118.02,34.09,24.0,2080.0,514.0,1976.0,478.0,2.6917,4.351464435146443,4.133891213389122,0.24711538461538463,1,0,0,0
9163,1.0,-118.47,34.42,17.0,913.0,228.0,530.0,201.0,3.038,4.54228855721393,2.63681592039801,0.2497261774370208,0,0,0,0
13140,1.0,-121.41,38.34,24.0,1605.0,277.0,1966.0,250.0,3.0833,6.42,7.864,0.17258566978193146,1,0,0,0
10035,1.0,-121.09,39.22,25.0,2200.0,439.0,1045.0,419.0,2.6042,5.250596658711217,2.4940334128878283,0.19954545454545455,1,0,0,0
11612,1.0,-118.04,33.8,33.0,2685.0,466.0,1359.0,476.0,5.0261,5.640756302521009,2.8550420168067228,0.17355679702048418,0,0,0,0
18068,1.0,-122.02,37.29,18.0,2550.0,312.0,999.0,320.0,8.7939,7.96875,3.121875,0.1223529411764706,0,0,0,0
14850,1.0,-117.07,32.67,28.0,2758.0,623.0,2179.0,631.0,2.3814,4.370839936608558,3.4532488114104596,0.22588832487309646,0,0,0,1
4103,1.0,-118.39,34.15,36.0,2696.0,713.0,905.0,659.0,3.1146,4.091047040971168,1.3732928679817906,0.26446587537091987,0,0,0,0
18612,1.0,-122.07,37.08,21.0,5639.0,894.0,2670.0,871.0,6.0809,6.474167623421355,3.0654420206659014,0.15853874800496542,0,0,0,1
18959,1.0,-122.04,38.25,37.0,1176.0,291.0,648.0,271.0,2.7167,4.339483394833948,2.3911439114391144,0.24744897959183673,1,0,0,0
19761,1.0,-122.17,40.11,24.0,1631.0,340.0,1042.0,333.0,1.7708,4.897897897897898,3.129129129129129,0.20846106683016555,1,0,0,0
14120,1.0,-117.09,32.74,23.0,3130.0,779.0,2472.0,744.0,2.32,4.206989247311828,3.3225806451612905,0.24888178913738018,0,0,0,1
16613,1.0,-121.14,35.55,13.0,5383.0,1070.0,1880.0,796.0,3.8019,6.7625628140703515,2.3618090452261304,0.19877391788965262,0,0,0,1
11099,1.0,-117.88,33.82,17.0,2247.0,705.0,1382.0,618.0,3.8631,3.6359223300970873,2.236245954692557,0.3137516688918558,0,0,0,0
9282,1.0,-122.58,38.1,22.0,11872.0,2300.0,5600.0,2200.0,4.6463,5.3963636363636365,2.5454545454545454,0.19373315363881402,0,0,1,0
13303,1.0,-117.62,34.08,30.0,1372.0,235.0,1047.0,225.0,3.1597,6.097777777777778,4.653333333333333,0.17128279883381925,1,0,0,0
14871,1.0,-117.11,32.62,27.0,1846.0,509.0,1078.0,482.0,2.1719,3.8298755186721993,2.236514522821577,0.2757313109425785,0,0,0,1
5474,1.0,-118.46,33.99,44.0,1122.0,287.0,531.0,256.0,4.0598,4.3828125,2.07421875,0.2557932263814617,0,0,0,0
3718,1.0,-118.41,34.19,42.0,779.0,145.0,450.0,148.0,3.9792,5.263513513513513,3.0405405405405403,0.18613607188703465,0,0,0,0
2365,1.0,-119.5,36.74,20.0,1089.0,208.0,531.0,212.0,4.5938,5.136792452830188,2.5047169811320753,0.19100091827364554,1,0,0,0
5942,1.0,-117.88,34.14,23.0,2308.0,322.0,1001.0,317.0,7.5112,7.280757097791798,3.1577287066246056,0.13951473136915077,1,0,0,0
20063,1.0,-119.04,35.95,25.0,1009.0,246.0,994.0,222.0,1.8462,4.545045045045045,4.4774774774774775,0.24380574826560952,1,0,0,0
9093,1.0,-118.27,34.68,19.0,552.0,129.0,314.0,106.0,3.2125,5.2075471698113205,2.9622641509433962,0.23369565217391305,1,0,0,0
19064,1.0,-122.44,38.34,25.0,3106.0,715.0,1262.0,665.0,1.9487,4.670676691729323,1.8977443609022557,0.23019961365099806,0,0,0,0
19234,1.0,-122.69,38.51,18.0,3364.0,501.0,1442.0,506.0,6.6854,6.648221343873518,2.849802371541502,0.14892984542211654,0,0,0,0
8038,1.0,-118.15,33.84,29.0,2448.0,354.0,894.0,349.0,7.6526,7.01432664756447,2.561604584527221,0.14460784313725492,0,0,0,0
373,1.0,-122.16,37.75,44.0,617.0,131.0,378.0,135.0,2.5568,4.57037037037037,2.8,0.21231766612641814,0,0,1,0
12129,1.0,-117.23,33.89,5.0,11775.0,2031.0,6686.0,1911.0,4.1953,6.161695447409733,3.4986917844060703,0.17248407643312103,1,0,0,0
10674,1.0,-117.86,33.63,17.0,3095.0,551.0,1175.0,534.0,5.3099,5.795880149812734,2.200374531835206,0.17802907915993538,0,0,0,0
14826,1.0,-117.09,32.66,38.0,833.0,206.0,570.0,182.0,1.8333,4.576923076923077,3.131868131868132,0.24729891956782712,0,0,0,1
14138,1.0,-117.07,32.74,37.0,1042.0,205.0,589.0,208.0,2.6629,5.009615384615385,2.831730769230769,0.1967370441458733,0,0,0,1
9024,1.0,-118.79,34.14,7.0,3003.0,504.0,1143.0,466.0,5.8548,6.444206008583691,2.4527896995708156,0.16783216783216784,0,0,0,1
1414,1.0,-122.09,37.95,32.0,1339.0,209.0,601.0,209.0,6.0265,6.4066985645933014,2.875598086124402,0.15608663181478716,0,0,1,0
14650,1.0,-117.2,32.77,31.0,1952.0,471.0,936.0,462.0,2.8621,4.225108225108225,2.0259740259740258,0.24129098360655737,0,0,0,1
