,id,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,out_prncp,tot_cur_bal,bc_util,inq_last_6mths,pct_tl_nvr_dlq,total_acc,acc_now_delinq,tot_coll_amt,loan_length,term_num,weights,outcome,cr_hist,train
87713,5639140,9000.0,9000.0, 36 months,6.62,276.34,A,2 years,MORTGAGE,106000.0,Not Verified,2013-06-01,debt_consolidation,6.51,0.0,1987-08-01,6.0,1.0,7988.0,45.6,0.0,175765.0,47.8,0.0,100.0,16.0,0.0,0.0,27.00671471693464,36,1,False,310.0186862153227,True
145040,1695720,17050.0,17050.0, 60 months,16.29,417.26,C,,RENT,40000.0,Verified,2012-11-01,debt_consolidation,17.1,0.0,1997-03-01,11.0,0.0,3980.0,19.6,0.0,29710.0,13.8,1.0,96.0,27.0,0.0,0.0,16.95312018727284,60,3,True,188.0613564960266,False
418058,1512271,16800.0,16800.0, 36 months,11.99,557.93,B,< 1 year,RENT,50000.0,Not Verified,2014-01-01,debt_consolidation,21.89,0.0,2000-07-01,21.0,0.0,13642.0,82.7,0.0,146053.0,82.7,2.0,100.0,42.0,0.0,0.0,13.010534097209389,36,1,False,162.04028830160783,True
153654,1553666,5500.0,5500.0, 36 months,12.12,183.0,B,,RENT,19980.0,Verified,2012-09-01,debt_consolidation,33.63,0.0,1998-12-01,10.0,0.0,9767.0,59.6,0.0,11183.0,83.1,0.0,100.0,23.0,0.0,972.0,33.93909525862954,36,3,True,165.0300827532393,True
233031,31497893,13775.0,13775.0, 60 months,16.99,342.28,D,< 1 year,RENT,38480.0,Source Verified,2014-10-01,debt_consolidation,34.75,0.0,2001-05-01,7.0,0.0,7189.0,71.2,0.0,48304.0,93.8,0.0,93.7,16.0,0.0,0.0,7.983736832378488,60,3,True,161.02178689500812,True
45072,7378073,8075.0,8075.0, 36 months,17.76,290.96,D,6 years,MORTGAGE,48000.0,Not Verified,2013-09-01,credit_card,13.68,1.0,1999-02-01,12.0,1.0,11434.0,63.2,0.0,11434.0,68.4,2.0,96.0,29.0,0.0,61.0,17.938766709788702,36,3,True,174.9851126306495,True
347994,16101882,4375.0,4375.0, 36 months,16.99,155.96,D,,OWN,25000.0,Verified,2014-05-01,debt_consolidation,25.11,1.0,1966-08-01,6.0,1.0,5937.0,40.7,0.0,13034.0,78.3,0.0,92.9,14.0,0.0,0.0,15.014682026324977,36,3,True,572.9891784225549,True
226867,32399203,8850.0,8850.0, 36 months,17.57,318.05,D,10+ years,RENT,49459.0,Verified,2014-10-01,debt_consolidation,26.77,0.0,1981-09-01,11.0,2.0,6700.0,55.4,0.0,38373.0,79.7,2.0,89.5,26.0,0.0,0.0,6.965235425778763,36,3,True,396.9855643853057,True
159809,1479533,15000.0,15000.0, 36 months,18.75,547.95,D,10+ years,RENT,44000.0,Not Verified,2012-09-01,debt_consolidation,18.33,0.0,2002-01-01,13.0,0.0,9461.0,61.4,0.0,16013.0,51.2,3.0,100.0,26.0,0.0,0.0,6.965235425778763,36,1,False,128.0026283907267,True
110656,3928240,10000.0,10000.0, 36 months,17.27,357.88,C,< 1 year,MORTGAGE,50512.0,Not Verified,2013-04-01,debt_consolidation,20.98,1.0,1998-10-01,16.0,0.0,13683.0,50.7,0.0,117819.0,62.1,0.0,93.0,46.0,0.0,0.0,22.045627220271463,36,1,False,173.99946610813365,True
101136,4538240,8000.0,8000.0, 36 months,14.09,273.78,B,,MORTGAGE,33300.0,Verified,2013-05-01,home_improvement,22.52,0.0,2000-09-01,13.0,1.0,4917.0,51.8,0.0,129081.0,60.2,0.0,100.0,28.0,0.0,0.0,36.008952955912854,36,1,False,151.95383888786216,True
128879,3151060,6000.0,6000.0, 36 months,14.09,205.33,B,9 years,MORTGAGE,55000.0,Not Verified,2013-01-01,debt_consolidation,12.31,0.0,2001-05-01,9.0,0.0,10680.0,85.4,0.0,137693.0,76.9,0.0,100.0,10.0,0.0,0.0,25.002566787819053,36,3,True,140.0603708495041,True
273767,24826260,5000.0,5000.0, 36 months,17.57,179.69,D,10+ years,MORTGAGE,25000.0,Source Verified,2014-08-01,debt_consolidation,21.32,0.0,2002-01-01,11.0,1.0,4188.0,27.7,0.0,86967.0,58.8,1.0,100.0,11.0,0.0,0.0,8.969383354894351,36,1,False,150.9681923653463,True
370672,13577648,6725.0,6725.0, 36 months,12.99,226.56,B,,RENT,50000.0,Source Verified,2014-04-01,credit_card,4.56,0.0,2002-11-01,11.0,0.0,4118.0,22.9,0.0,4118.0,57.6,2.0,91.2,34.0,0.0,0.0,17.018829955440562,36,3,True,136.97201174562105,True
151527,1579198,13600.0,13600.0, 36 months,17.27,486.71,C,3 years,RENT,81000.0,Not Verified,2012-10-01,debt_consolidation,8.13,0.0,2000-11-01,12.0,0.0,11030.0,45.8,0.0,19614.0,29.5,2.0,100.0,13.0,0.0,0.0,8.969383354894351,36,3,True,142.98445553296781,True
267237,26809651,20725.0,20725.0, 60 months,14.99,492.94,C,1 year,MORTGAGE,100000.0,Source Verified,2014-09-01,debt_consolidation,13.3,2.0,1994-11-01,17.0,0.0,6540.0,27.6,0.0,313690.0,50.4,1.0,80.8,31.0,0.0,0.0,12.977679213125526,60,3,True,238.00078030349698,True
215513,34482879,16600.0,16600.0, 60 months,15.99,403.6,D,,RENT,42888.0,Verified,2014-11-01,debt_consolidation,13.35,0.0,2000-10-01,5.0,0.0,7978.0,90.7,0.0,15564.0,90.7,0.0,100.0,11.0,0.0,0.0,4.9610874966631755,60,3,True,169.0055237273866,True
240691,1684732,10550.0,10550.0, 60 months,14.99,250.93,C,8 years,MORTGAGE,33000.0,Source Verified,2014-10-01,major_purchase,17.13,0.0,2002-11-01,8.0,0.0,10233.0,57.2,0.0,102945.0,60.9,0.0,100.0,13.0,0.0,0.0,13.010534097209389,60,3,True,142.98445553296781,True
270151,26168397,20000.0,20000.0, 36 months,6.49,612.89,A,10+ years,MORTGAGE,65000.0,Source Verified,2014-09-01,home_improvement,6.19,0.0,1997-01-01,7.0,0.0,4578.0,11.2,0.0,164451.0,12.0,0.0,95.0,20.0,0.0,0.0,16.000328548840837,36,1,False,211.9797121090782,True
355494,15460780,13825.0,13825.0, 36 months,13.65,470.16,C,,RENT,30768.0,Verified,2014-05-01,debt_consolidation,34.75,0.0,1999-10-01,11.0,0.0,9919.0,52.5,0.0,15734.0,86.2,0.0,100.0,21.0,0.0,87.0,9.987884761494076,36,3,True,174.9851126306495,True
31502,8118284,3625.0,3625.0, 36 months,21.7,137.88,E,< 1 year,RENT,20000.0,Not Verified,2013-10-01,debt_consolidation,14.46,0.0,2010-09-01,7.0,0.0,3204.0,71.2,0.0,37028.0,85.1,2.0,100.0,7.0,0.0,0.0,13.996180619725251,36,1,False,36.99459947842872,True
317168,19998020,18000.0,18000.0, 60 months,12.49,404.88,B,6 years,MORTGAGE,60000.0,Source Verified,2014-07-01,debt_consolidation,14.67,0.0,2000-04-01,15.0,0.0,7805.0,14.3,0.0,135395.0,15.9,0.0,100.0,22.0,0.0,0.0,19.055832768640013,60,3,True,170.97681677241832,True
85950,5696597,9000.0,9000.0, 36 months,12.12,299.45,B,10+ years,MORTGAGE,55000.0,Not Verified,2013-06-01,credit_card,10.53,0.0,1984-05-01,10.0,0.0,19029.0,68.7,0.0,65203.0,75.0,2.0,84.0,20.0,0.0,0.0,36.008952955912854,36,1,False,349.017433622867,True
70733,6288073,8500.0,8500.0, 36 months,13.05,286.61,B,2 years,MORTGAGE,40000.0,Not Verified,2013-07-01,debt_consolidation,8.49,0.0,1986-11-01,10.0,0.0,3180.0,90.9,0.0,68746.0,90.9,1.0,91.0,25.0,0.0,85.0,15.014682026324977,36,3,True,319.9737160927329,False
206083,33621619,24950.0,24950.0, 60 months,19.24,650.52,E,10+ years,MORTGAGE,52000.0,Source Verified,2014-11-01,credit_card,19.87,0.0,1987-09-01,15.0,0.0,10861.0,29.6,0.0,35172.0,41.6,0.0,90.0,40.0,0.0,0.0,7.950881948294626,60,3,True,326.01901476416356,True
36121,7729887,11200.0,11200.0, 60 months,17.76,282.95,D,2 years,RENT,42000.0,Source Verified,2013-10-01,debt_consolidation,21.77,0.0,2005-07-01,8.0,0.0,8651.0,70.3,0.0,51596.0,70.3,1.0,88.0,17.0,0.0,0.0,8.969383354894351,60,3,True,99.02462062876035,False
375132,12996907,10000.0,10000.0, 36 months,12.49,334.49,B,10+ years,MORTGAGE,116975.0,Not Verified,2014-04-01,debt_consolidation,32.32,0.0,2003-02-01,16.0,0.0,22788.0,72.3,0.0,665642.0,88.2,1.0,96.8,31.0,0.0,0.0,10.973531284009939,36,3,True,133.94936240990575,True
242212,30265366,14950.0,14950.0, 60 months,16.29,365.87,D,8 years,RENT,42473.6,Source Verified,2014-10-01,debt_consolidation,12.4,0.0,1994-08-01,7.0,0.0,15100.0,57.9,0.0,15100.0,55.0,1.0,100.0,21.0,0.0,0.0,11.992032690609664,60,3,True,242.00907616172816,True
296400,22342173,7000.0,7000.0, 36 months,22.15,267.88,E,< 1 year,RENT,22000.0,Not Verified,2014-07-01,credit_card,12.33,0.0,2007-09-01,19.0,0.0,7251.0,26.8,0.0,7251.0,45.2,2.0,94.7,19.0,0.0,0.0,5.0267972648309,36,3,True,81.97293578923592,False
6206,9796031,20000.0,20000.0, 60 months,24.08,576.29,F,3 years,RENT,68000.0,Verified,2013-12-01,debt_consolidation,33.7,0.0,2006-11-01,12.0,0.0,7085.0,40.7,0.0,63855.0,68.1,1.0,94.4,18.0,0.0,0.0,26.021068194418778,60,1,False,84.99558512495123,True
221310,31537262,10000.0,10000.0, 36 months,12.99,336.9,C,8 years,RENT,40000.0,Not Verified,2014-10-01,debt_consolidation,20.43,0.0,1994-11-01,13.0,0.0,17302.0,53.2,0.0,18834.0,59.2,1.0,100.0,20.0,0.0,0.0,7.983736832378488,36,3,True,238.98642682601286,True
194711,36351380,2000.0,2000.0, 36 months,14.31,68.66,C,3 years,RENT,50000.0,Source Verified,2014-12-01,other,25.88,0.0,2005-10-01,20.0,0.0,9551.0,57.5,0.0,75370.0,19.0,0.0,82.5,40.0,0.0,0.0,14.029035503809114,36,1,False,109.99815191277028,False
58571,6785053,4500.0,4500.0, 36 months,13.68,153.11,C,3 years,MORTGAGE,38000.0,Not Verified,2013-08-01,car,19.86,0.0,2005-10-01,15.0,0.0,6001.0,17.5,0.0,112536.0,21.8,1.0,100.0,24.0,0.0,0.0,3.0226493357153124,36,3,True,93.99782336392944,True
56453,6884626,24375.0,24375.0, 60 months,21.15,661.49,E,10+ years,MORTGAGE,55100.0,Verified,2013-09-01,credit_card,27.83,0.0,2000-07-01,15.0,0.0,18188.0,72.1,0.0,162916.0,91.8,2.0,100.0,25.0,0.0,0.0,13.996180619725251,60,3,True,158.03199244337665,False
281430,24385068,35000.0,35000.0, 36 months,25.83,1407.01,G,8 years,RENT,130000.0,Verified,2014-08-01,debt_consolidation,12.32,0.0,1994-12-01,15.0,0.0,17585.0,91.6,0.0,125158.0,95.8,5.0,96.8,36.0,0.0,0.0,20.008624407072013,36,1,False,235.9966323743814,False
104764,3928602,3200.0,3200.0, 36 months,17.77,115.32,D,10+ years,OWN,51000.0,Source Verified,2013-04-01,credit_card,17.52,0.0,1995-04-01,4.0,0.0,22534.0,93.1,0.0,24375.0,96.8,1.0,100.0,12.0,0.0,0.0,36.008952955912854,36,1,False,216.02086285139325,False
279451,24716018,23675.0,23675.0, 60 months,22.15,655.9,E,10+ years,MORTGAGE,74000.0,Verified,2014-08-01,debt_consolidation,11.71,0.0,1998-08-01,8.0,0.0,12446.0,63.5,0.0,153567.0,99.3,1.0,100.0,15.0,0.0,0.0,17.018829955440562,60,1,False,192.00394258609006,True
192933,36200197,21000.0,21000.0, 60 months,11.44,461.22,B,1 year,RENT,120000.0,Source Verified,2014-12-01,credit_card,20.06,0.0,1979-09-01,22.0,0.0,53605.0,49.5,0.0,81723.0,56.7,1.0,100.0,41.0,0.0,0.0,7.983736832378488,60,3,True,423.00663257972445,False
122083,3149998,3000.0,3000.0, 36 months,15.8,105.18,C,8 years,RENT,46000.0,Source Verified,2013-02-01,debt_consolidation,27.97,1.0,2001-06-01,19.0,0.0,6399.0,42.7,0.0,85655.0,36.9,2.0,92.0,38.0,0.0,18786.0,36.92888971026099,36,1,False,140.0603708495041,True
392653,10558112,4000.0,4000.0, 36 months,8.9,127.02,A,7 years,MORTGAGE,122880.0,Not Verified,2014-02-01,other,10.78,0.0,1998-07-01,11.0,0.0,2716.0,9.5,0.0,457058.0,11.0,1.0,100.0,41.0,0.0,0.0,11.992032690609664,36,1,False,187.07570997351075,True
355186,15290991,2050.0,2050.0, 36 months,19.99,76.18,E,5 years,RENT,30000.0,Not Verified,2014-05-01,debt_consolidation,17.64,0.0,1999-07-01,4.0,1.0,2887.0,96.2,0.0,10851.0,96.2,1.0,100.0,10.0,0.0,0.0,15.014682026324977,36,3,True,178.00776196636482,False
114353,3696238,20000.0,20000.0, 36 months,8.9,635.07,A,10+ years,MORTGAGE,83835.95,Source Verified,2013-03-01,debt_consolidation,16.6,0.0,1996-10-01,15.0,0.0,27358.0,73.3,0.0,158655.0,82.2,0.0,100.0,20.0,0.0,0.0,36.008952955912854,36,1,False,196.96503008275323,True
