,id,loan_amnt,funded_amnt,term,int_rate,installment,grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,delinq_2yrs,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_pymnt,last_pymnt_d,recoveries,out_prncp,tot_cur_bal,bc_util,funded_amnt_inv,inq_last_6mths,pct_tl_nvr_dlq,total_acc,sub_grade,acc_now_delinq,tot_coll_amt,default,loan_length,term_num,label,cr_hist
10247,9374718,24000.0,24000.0, 36 months,13.53,814.8,B,10+ years,MORTGAGE,65000.0,Verified,2013-12-01,Charged Off,debt_consolidation,26.33,2.0,1991-07-01,16.0,0.0,6153.0,65.5,13848.06,2015-05-01,0.0,0.0,53220.0,35.3,24000.0,2.0,95.2,42.0,B5,0.0,0.0,1,16.95312018727284,36,1,269.0486457627467
282831,15580074,4900.0,4900.0, 36 months,12.49,163.9,B,6 years,RENT,35000.0,Not Verified,2014-08-01,Charged Off,credit_card,15.57,0.0,2000-07-01,13.0,1.0,9308.0,62.1,1639.0,2015-06-01,0.0,0.0,92858.0,91.8,4900.0,0.0,88.6,35.0,B5,0.0,0.0,1,9.987884761494076,36,1,169.0055237273866
135723,2475893,27050.0,27050.0, 60 months,21.49,739.27,E,,MORTGAGE,83000.0,Verified,2012-12-01,Charged Off,debt_consolidation,25.82,0.0,2000-08-01,16.0,0.0,5068.0,76.3,9480.58,2013-09-01,3582.9,0.0,302174.0,61.5,27050.0,2.0,97.0,38.0,E3,0.0,0.0,1,9.002238238978213,60,1,148.01125279779873
223792,33210147,7650.0,7650.0, 36 months,18.24,277.49,D,7 years,RENT,27800.0,Verified,2014-11-01,Charged Off,debt_consolidation,28.28,0.0,2007-05-01,3.0,0.0,11878.0,100.7,1718.38,2015-03-01,627.8,0.0,18613.0,100.7,7650.0,0.0,100.0,6.0,D5,0.0,0.0,1,3.942586090063451,36,1,90.055237273866
50825,7049142,35000.0,35000.0, 60 months,22.2,970.65,E,5 years,MORTGAGE,89294.4,Verified,2013-09-01,Charged Off,debt_consolidation,12.17,1.0,1999-08-01,11.0,0.0,17739.0,66.2,46344.87,2014-12-01,32539.42,0.0,292755.0,91.7,35000.0,0.0,96.0,27.0,E4,0.0,0.0,1,14.981827142241114,60,1,169.03837861147045
70550,6297078,25000.0,25000.0, 60 months,17.56,628.87,D,5 years,MORTGAGE,66000.0,Verified,2013-07-01,Charged Off,debt_consolidation,11.75,0.0,2000-03-01,13.0,0.0,24715.0,54.8,6288.7,2014-06-01,16.32,0.0,229184.0,45.7,24975.0,3.0,82.0,23.0,D1,0.0,0.0,1,11.006386168093801,60,1,160.00328548840838
343178,16333129,25000.0,25000.0, 36 months,10.99,818.35,B,10+ years,MORTGAGE,95000.0,Source Verified,2014-05-01,Charged Off,credit_card,28.28,0.0,1995-12-01,7.0,0.0,7318.0,54.2,28261.81,2015-11-01,17582.34,0.0,19760.0,73.2,24900.0,1.0,100.0,32.0,B3,0.0,0.0,1,18.037331362040288,36,1,220.98195034805642
411679,10697030,6300.0,6300.0, 36 months,12.85,211.82,B,2 years,OWN,18000.0,Verified,2014-01-01,Charged Off,credit_card,23.13,1.0,1990-12-01,15.0,0.0,12116.0,29.8,1654.98,2014-06-01,807.7,0.0,20170.0,38.5,6300.0,2.0,96.4,28.0,B4,0.0,0.0,1,4.9610874966631755,36,1,277.03238259512517
104965,4309214,10000.0,10000.0, 36 months,15.31,348.18,C,10+ years,RENT,58547.0,Source Verified,2013-05-01,Charged Off,debt_consolidation,2.58,0.0,1992-04-01,6.0,1.0,4254.0,41.7,10444.41,2015-11-01,0.0,0.0,4254.0,58.0,10000.0,0.0,100.0,20.0,C2,0.0,0.0,1,30.029364052649953,36,1,252.9826074457381
293957,22453542,12000.0,12000.0, 36 months,16.29,423.61,D,1 year,RENT,80000.0,Not Verified,2014-07-01,Charged Off,credit_card,7.02,1.0,1999-08-01,8.0,0.0,7926.0,68.9,4419.39,2015-01-01,1877.73,0.0,24371.0,98.4,12000.0,0.0,92.9,16.0,D2,0.0,0.0,1,6.045298671430625,36,1,178.99340848888068
374861,13257206,10000.0,10000.0, 36 months,10.99,327.34,B,6 years,MORTGAGE,60000.0,Source Verified,2014-04-01,Charged Off,credit_card,16.08,0.0,2001-07-01,16.0,0.0,10833.0,42.2,4910.1,2015-07-01,0.0,0.0,126732.0,34.7,10000.0,0.0,100.0,21.0,B2,0.0,0.0,1,14.981827142241114,36,1,153.00519517854576
382191,12966211,35000.0,35000.0, 60 months,25.83,1044.4,G,10+ years,RENT,80000.0,Verified,2014-03-01,Charged Off,home_improvement,23.3,0.0,1994-03-01,7.0,0.0,8453.0,62.2,11182.32,2014-10-01,4915.92,0.0,25037.0,68.2,34950.0,2.0,85.7,21.0,G2,0.0,0.0,1,7.030945193946487,60,1,240.00492823261257
31678,7594986,13950.0,13950.0, 60 months,16.2,340.73,C,7 years,RENT,39520.0,Source Verified,2013-10-01,Charged Off,credit_card,13.91,0.0,2002-10-01,9.0,0.0,14671.0,76.0,8177.48,2015-10-01,0.0,0.0,14671.0,82.9,13950.0,0.0,100.0,10.0,C4,0.0,0.0,1,23.984065381219327,60,1,132.01092424895788
14945,9036519,25000.0,25000.0, 36 months,14.3,858.09,C,10+ years,MORTGAGE,98000.0,Source Verified,2013-11-01,Charged Off,debt_consolidation,3.72,2.0,1995-09-01,7.0,0.0,10084.0,86.9,10269.25,2014-10-01,1688.35,0.0,462762.0,80.9,25000.0,1.0,95.1,41.0,C1,0.0,0.0,1,10.973531284009939,36,1,218.02501078050884
61272,6734640,16850.0,16850.0, 60 months,23.5,479.87,F,10+ years,MORTGAGE,62927.54,Verified,2013-08-01,Charged Off,debt_consolidation,21.55,0.0,1999-08-01,25.0,0.0,19204.0,76.8,8843.1,2014-10-01,2125.4,0.0,360694.0,100.9,16850.0,0.0,95.0,48.0,F1,0.0,0.0,1,13.996180619725251,60,1,168.01987720487074
375492,13316567,24000.0,24000.0, 60 months,24.08,691.55,F,4 years,RENT,160000.0,Verified,2014-03-01,Charged Off,debt_consolidation,12.06,0.0,1989-08-01,20.0,0.0,29937.0,77.4,8318.99,2014-12-01,3278.14,0.0,52141.0,94.5,24000.0,1.0,100.0,31.0,F2,0.0,0.0,1,9.035093123062076,60,1,294.97114930491387
36531,7535377,18000.0,18000.0, 36 months,9.99,580.73,B,9 years,OWN,53000.0,Not Verified,2013-10-01,Charged Off,credit_card,25.63,0.0,1987-03-01,15.0,0.0,29372.0,35.2,13941.65,2015-08-01,1170.47,0.0,55300.0,48.5,18000.0,1.0,100.0,27.0,B1,0.0,0.0,1,21.979917452103738,36,1,319.0537793383848
136947,2380015,21850.0,21850.0, 60 months,16.29,534.73,C,10+ years,MORTGAGE,60000.0,Verified,2012-12-01,Charged Off,debt_consolidation,15.82,0.0,1997-03-01,9.0,0.0,14723.0,72.2,6948.37,2014-01-01,0.0,0.0,132802.0,50.8,21850.0,0.0,95.0,21.0,C4,0.0,0.0,1,13.010534097209389,60,1,189.04700301854248
407458,11385570,30000.0,30000.0, 60 months,25.89,896.27,G,2 years,MORTGAGE,82500.0,Verified,2014-01-01,Charged Off,debt_consolidation,19.96,0.0,2000-09-01,15.0,0.0,27779.0,88.2,12158.74,2014-11-01,4092.31,0.0,293882.0,96.3,29975.0,2.0,100.0,23.0,G3,0.0,0.0,1,9.987884761494076,60,1,160.00328548840838
207848,34963992,16000.0,16000.0, 36 months,14.31,549.26,C,6 years,MORTGAGE,49898.0,Source Verified,2014-11-01,Charged Off,other,8.87,0.0,2005-04-01,7.0,0.0,6838.0,69.8,7302.4,2016-04-01,0.0,0.0,178319.0,93.6,16000.0,1.0,91.7,12.0,C4,0.0,0.0,1,16.9859750713567,36,1,115.02494917760119
293778,22363805,10000.0,10000.0, 36 months,14.49,344.17,C,1 year,MORTGAGE,75000.0,Source Verified,2014-07-01,Charged Off,credit_card,21.44,2.0,1995-10-01,15.0,0.0,29985.0,39.6,6484.71,2015-08-01,2010.5,0.0,280019.0,36.0,10000.0,2.0,94.1,34.0,C4,0.0,0.0,1,13.010534097209389,36,1,224.9902462062876
105513,4287590,16000.0,16000.0, 36 months,13.11,539.96,B,2 years,RENT,110000.0,Verified,2013-04-01,Charged Off,debt_consolidation,15.69,0.0,1990-06-01,17.0,0.0,40722.0,91.7,16191.5,2015-10-01,0.0,0.0,47114.0,97.6,16000.0,0.0,100.0,25.0,B4,0.0,0.0,1,29.99650916856609,36,1,274.00973325940987
291034,23263063,33950.0,33950.0, 36 months,20.99,1278.9,E,9 years,RENT,125000.0,Source Verified,2014-08-01,Charged Off,debt_consolidation,19.5,0.0,1989-04-01,14.0,1.0,26930.0,80.9,20526.35,2016-01-01,0.0,0.0,65532.0,91.2,33950.0,1.0,100.0,27.0,E4,0.0,0.0,1,17.018829955440562,36,1,304.0062424279759
357281,15259799,8050.0,8050.0, 36 months,12.49,269.27,B,7 years,RENT,31000.0,Source Verified,2014-04-01,Charged Off,credit_card,11.19,0.0,2000-10-01,9.0,0.0,7326.0,47.0,2961.97,2015-04-01,0.0,0.0,11497.0,44.9,8050.0,1.0,100.0,18.0,B4,0.0,0.0,1,11.992032690609664,36,1,161.9745785334401
7108,9424675,6000.0,6000.0, 36 months,13.53,203.7,B,1 year,RENT,31200.0,Source Verified,2013-12-01,Charged Off,debt_consolidation,24.12,0.0,2006-05-01,7.0,0.0,5529.0,44.6,2318.44,2014-09-01,690.86,0.0,23128.0,108.2,6000.0,0.0,100.0,9.0,B5,0.0,0.0,1,9.002238238978213,36,1,91.04088379638186
320559,19617434,7500.0,7500.0, 36 months,13.98,256.26,C,2 years,MORTGAGE,21000.0,Source Verified,2014-07-01,Charged Off,debt_consolidation,15.03,0.0,2002-05-01,6.0,0.0,10624.0,85.0,4100.16,2015-11-01,0.0,0.0,77282.0,85.5,7500.0,0.0,100.0,17.0,C3,0.0,0.0,1,16.0331834329247,36,1,146.00710486868314
419556,10109775,7375.0,7375.0, 36 months,24.5,291.29,F,3 years,RENT,45000.0,Source Verified,2014-01-01,Charged Off,moving,22.69,0.0,2007-03-01,7.0,0.0,3766.0,89.7,2148.24,2014-05-01,983.78,0.0,44265.0,87.4,7375.0,2.0,100.0,11.0,F3,0.0,0.0,1,3.942586090063451,36,1,82.0715004414875
319614,19587344,15000.0,15000.0, 60 months,14.49,352.85,C,1 year,RENT,65000.0,Source Verified,2014-06-01,Charged Off,debt_consolidation,11.06,0.0,2002-10-01,4.0,0.0,3775.0,65.1,6016.09,2015-12-01,0.0,0.0,23917.0,61.7,15000.0,1.0,100.0,10.0,C4,0.0,0.0,1,18.004476477956427,60,1,139.99466108133637
95736,4557455,10000.0,10000.0, 36 months,16.29,353.01,C,2 years,OWN,39520.0,Not Verified,2013-05-01,Charged Off,debt_consolidation,10.63,0.0,1993-01-01,11.0,0.0,10963.0,49.8,4295.92,2014-02-01,1119.82,0.0,10963.0,49.8,10000.0,1.0,100.0,19.0,C4,0.0,412.0,1,9.067948007145937,36,1,243.94751432267603
338175,17503313,20000.0,20000.0, 36 months,8.39,630.34,A,4 years,RENT,86600.0,Source Verified,2014-05-01,Charged Off,credit_card,16.75,0.0,1998-08-01,10.0,0.0,30632.0,61.9,4412.38,2015-01-01,0.0,0.0,284125.0,61.9,20000.0,0.0,95.7,23.0,A5,0.0,0.0,1,8.049446600546213,36,1,188.98129325037476
38056,7725841,18225.0,18225.0, 60 months,16.2,445.14,C,2 years,MORTGAGE,85719.0,Verified,2013-10-01,Charged Off,small_business,7.07,0.0,1997-10-01,9.0,0.0,989.0,6.3,7577.01,2014-10-01,2236.25,0.0,162520.0,10.0,18225.0,1.0,100.0,22.0,C4,0.0,0.0,1,11.992032690609664,60,1,192.00394258609006
144560,1815124,14400.0,14400.0, 36 months,15.31,501.37,C,,RENT,36000.0,Source Verified,2012-11-01,Charged Off,credit_card,34.63,0.0,1996-03-01,7.0,0.0,9193.0,78.6,7018.34,2014-01-01,0.0,0.0,53685.0,92.5,14400.0,2.0,100.0,30.0,C2,0.0,0.0,1,13.996180619725251,36,1,200.05338918663628
387558,12666142,10750.0,10750.0, 36 months,15.61,375.88,C,6 years,RENT,35000.0,Source Verified,2014-03-01,Charged Off,debt_consolidation,11.42,0.0,2000-10-01,5.0,1.0,7136.0,39.0,5897.96,2015-03-01,1387.4,0.0,7136.0,97.1,10750.0,0.0,100.0,23.0,C5,0.0,356.0,1,11.992032690609664,36,1,160.9560771268404
99484,4775987,7500.0,7500.0, 36 months,18.49,273.0,D,3 years,OWN,65000.0,Not Verified,2013-05-01,Charged Off,credit_card,10.08,0.0,2008-03-01,12.0,0.0,7735.0,41.6,3060.849999999999,2014-01-01,876.85,0.0,14151.0,55.7,7500.0,1.0,100.0,14.0,D2,0.0,0.0,1,8.049446600546213,36,1,61.99716626624777
97768,4785649,15875.0,15875.0, 60 months,23.83,455.13,F,1 year,RENT,45000.0,Verified,2013-05-01,Charged Off,moving,18.56,0.0,2007-04-01,9.0,0.0,3015.0,35.1,4459.89,2013-10-01,2188.59,0.0,37725.0,64.4,15875.0,1.0,100.0,26.0,F5,0.0,0.0,1,5.0267972648309,60,1,73.00355243434157
47591,7275701,16000.0,16000.0, 60 months,15.61,385.79,C,5 years,MORTGAGE,39500.0,Source Verified,2013-09-01,Charged Off,home_improvement,6.02,0.0,2003-08-01,4.0,0.0,7297.0,68.8,7597.98,2014-08-01,3354.29,0.0,129543.0,68.8,16000.0,0.0,100.0,8.0,C3,0.0,0.0,1,10.973531284009939,60,1,121.03739296494794
7505,9746586,14000.0,14000.0, 36 months,13.53,475.3,B,6 years,RENT,65000.0,Not Verified,2013-12-01,Charged Off,debt_consolidation,23.89,0.0,2002-12-01,9.0,0.0,14182.0,67.9,9112.43,2015-05-01,1512.67,0.0,43938.0,94.9,14000.0,2.0,84.2,20.0,B5,0.0,0.0,1,16.95312018727284,36,1,132.01092424895788
286903,22294124,6000.0,6000.0, 36 months,18.99,219.91,E,3 years,RENT,50000.0,Verified,2014-08-01,Charged Off,credit_card,9.15,0.0,1995-07-01,7.0,0.0,10985.0,92.3,3738.47,2016-01-01,0.0,0.0,10985.0,93.5,6000.0,0.0,100.0,14.0,E1,0.0,0.0,1,17.018829955440562,36,1,229.03139694860263
74991,6156608,22250.0,22250.0, 60 months,12.35,498.89,B,5 years,MORTGAGE,50000.0,Verified,2013-07-01,Charged Off,credit_card,12.99,0.0,2004-12-01,13.0,0.0,17000.0,54.2,12436.96,2015-02-01,2958.05,0.0,215421.0,58.4,22250.0,0.0,100.0,20.0,B4,0.0,0.0,1,19.055832768640013,60,1,102.96720671882379
91331,5445969,25000.0,25000.0, 60 months,20.49,669.19,E,2 years,RENT,92000.0,Verified,2013-06-01,Charged Off,debt_consolidation,14.22,0.0,1992-05-01,10.0,0.0,9557.0,67.8,13078.300000000001,2014-09-01,3040.45,0.0,40284.0,66.7,25000.0,2.0,87.0,32.0,E1,0.0,77.0,1,15.014682026324977,60,1,253.01546232982196
156844,1478340,16450.0,16450.0, 60 months,18.49,422.12,D,9 years,OWN,42000.0,Verified,2012-09-01,Charged Off,debt_consolidation,26.11,0.0,1999-01-01,16.0,0.0,19353.0,59.5,14497.17,2015-04-01,1835.86,0.0,38430.0,96.5,16450.0,1.0,100.0,26.0,D2,0.0,0.0,1,30.94930080699809,60,1,164.01158134663956
20259,7647513,14000.0,14000.0, 60 months,23.1,395.48,E,10+ years,RENT,83000.0,Source Verified,2013-11-01,Charged Off,debt_consolidation,27.29,1.0,1989-01-01,22.0,0.0,36411.0,72.5,6344.82,2015-01-01,809.06,0.0,45532.0,85.0,14000.0,1.0,94.4,36.0,E4,0.0,54.0,1,13.996180619725251,60,1,297.99379864062917
232507,31607972,15000.0,15000.0, 36 months,10.99,491.01,B,10+ years,MORTGAGE,119000.0,Verified,2014-10-01,Charged Off,debt_consolidation,16.3,0.0,1995-01-01,10.0,0.0,51244.0,70.0,9627.94,2016-06-01,0.0,0.0,69840.0,67.0,15000.0,0.0,100.0,16.0,B3,0.0,0.0,1,20.008624407072013,36,1,236.98227889689727
52795,7044783,16000.0,16000.0, 60 months,15.22,382.49,C,,MORTGAGE,71374.0,Verified,2013-09-01,Charged Off,debt_consolidation,33.66,0.0,1992-09-01,24.0,0.0,27270.0,28.6,9487.59,2015-05-01,2201.16,0.0,171987.0,36.3,16000.0,3.0,100.0,58.0,C3,0.0,0.0,1,19.94291463890429,60,1,251.99696092322225
241310,30365723,4200.0,4200.0, 36 months,10.15,135.82,B,2 years,RENT,92000.0,Not Verified,2014-10-01,Charged Off,debt_consolidation,23.42,2.0,1996-07-01,10.0,0.0,16371.0,82.7,1812.63,2015-06-01,731.99,0.0,60509.0,96.4,4200.0,0.0,93.5,31.0,B2,0.0,0.0,1,7.983736832378488,36,1,219.01065730302471
297456,22121664,14825.0,14825.0, 36 months,12.99,499.45,C,4 years,MORTGAGE,48000.0,Source Verified,2014-07-01,Charged Off,debt_consolidation,26.35,1.0,1996-03-01,8.0,0.0,8463.0,60.0,6585.97,2015-04-01,2090.92,0.0,96761.0,38.0,14825.0,1.0,88.2,17.0,C1,0.0,0.0,1,9.002238238978213,36,1,219.99630382554056
37858,7726086,6950.0,6950.0, 36 months,16.2,245.03,C,5 years,RENT,75000.0,Verified,2013-10-01,Charged Off,debt_consolidation,5.41,0.0,1994-12-01,8.0,1.0,3504.0,62.6,2926.28,2013-11-01,2681.45,0.0,5154.0,62.6,6950.0,1.0,100.0,17.0,C4,0.0,0.0,1,1.0185014065997249,36,1,226.00874761288733
134671,2694763,30000.0,30000.0, 60 months,17.77,758.06,D,10+ years,MORTGAGE,80000.0,Verified,2012-12-01,Charged Off,debt_consolidation,13.73,2.0,1999-01-01,12.0,0.0,62505.0,68.1,12883.900000000001,2014-06-01,0.0,0.0,375322.0,73.2,30000.0,0.0,87.0,33.0,D1,0.0,0.0,1,17.971621593872563,60,1,167.001375798271
294776,22233255,15425.0,15425.0, 36 months,13.35,522.34,C,10+ years,RENT,90000.0,Verified,2014-07-01,Charged Off,debt_consolidation,25.27,0.0,2000-11-01,12.0,0.0,28726.0,85.7,8785.42,2015-10-01,1472.66,0.0,70634.0,94.9,15425.0,1.0,100.0,18.0,C2,0.0,0.0,1,15.014682026324977,36,1,163.94587157847184
134717,2284678,21000.0,21000.0, 36 months,8.9,666.82,A,10+ years,MORTGAGE,114000.0,Source Verified,2012-12-01,Charged Off,house,6.34,0.0,2000-01-01,7.0,0.0,10315.0,56.4,9255.02,2014-01-01,1253.18,0.0,138494.0,58.9,21000.0,2.0,100.0,25.0,A5,0.0,0.0,1,13.010534097209389,36,1,155.00934310766135
19063,8975570,4000.0,4000.0, 36 months,18.55,145.72,D,,RENT,14940.0,Source Verified,2013-11-01,Charged Off,debt_consolidation,18.31,0.0,2003-09-01,4.0,0.0,4623.0,92.5,1904.05,2014-10-01,447.07,0.0,7785.0,100.9,4000.0,2.0,100.0,25.0,D2,0.0,0.0,1,10.973531284009939,36,1,122.0230394874638
209899,34733581,6000.0,6000.0, 36 months,12.39,200.41,C,6 years,MORTGAGE,55000.0,Not Verified,2014-11-01,Charged Off,debt_consolidation,16.1,0.0,2003-02-01,6.0,0.0,5290.0,77.8,1194.2,2015-05-01,0.0,0.0,216829.0,77.8,6000.0,0.0,85.7,14.0,C1,0.0,0.0,1,5.946734019179039,36,1,140.98030760385222
279554,24625981,35000.0,35000.0, 60 months,24.08,1008.51,F,< 1 year,MORTGAGE,80000.0,Verified,2014-08-01,Charged Off,credit_card,33.92,0.0,2004-07-01,17.0,0.0,32265.0,83.8,2017.02,2014-10-01,0.0,0.0,254940.0,96.7,35000.0,1.0,100.0,48.0,F2,0.0,0.0,1,2.0041479291155877,60,1,121.00453808086408
196141,36400612,20000.0,20000.0, 36 months,12.99,673.79,C,10+ years,MORTGAGE,80000.0,Verified,2014-12-01,Charged Off,small_business,12.03,0.0,1995-10-01,9.0,0.0,12850.0,62.1,5904.69,2015-04-01,3238.4,0.0,236743.0,67.2,20000.0,0.0,100.0,14.0,C2,0.0,0.0,1,3.975440974147313,36,1,230.0170434711185
402143,11687290,30000.0,30000.0, 36 months,11.99,996.29,B,10+ years,MORTGAGE,108000.0,Verified,2014-02-01,Charged Off,debt_consolidation,12.8,1.0,1992-06-01,12.0,0.0,21891.0,63.5,18929.51,2015-09-01,0.0,0.0,242404.0,42.7,30000.0,0.0,90.6,32.0,B3,0.0,0.0,1,18.957268116388427,36,1,260.04640752376844
239725,30715955,21075.0,21075.0, 60 months,24.08,607.27,F,7 years,MORTGAGE,48000.0,Source Verified,2014-10-01,Charged Off,debt_consolidation,29.08,0.0,2011-02-01,12.0,0.0,12045.0,33.8,4880.53,2015-03-01,1900.57,0.0,172526.0,33.7,21075.0,0.0,100.0,15.0,F2,0.0,0.0,1,4.9610874966631755,60,1,43.959834904207476
385578,12635509,14375.0,14375.0, 60 months,18.92,372.27,D,10+ years,MORTGAGE,40000.0,Verified,2014-03-01,Charged Off,debt_consolidation,4.58,0.0,1998-10-01,4.0,2.0,5810.0,60.5,2748.29,2014-05-01,2003.75,0.0,110407.0,105.7,14375.0,0.0,100.0,14.0,D4,0.0,0.0,1,2.0041479291155877,60,1,184.97299739214358
49984,7071222,20000.0,20000.0, 60 months,25.8,596.45,G,,MORTGAGE,96000.0,Source Verified,2013-09-01,Charged Off,debt_consolidation,14.66,0.0,1997-02-01,11.0,1.0,6984.0,40.4,10731.55,2015-03-01,0.0,0.0,39912.0,57.7,19975.0,3.0,100.0,26.0,G1,0.0,0.0,1,17.938766709788702,60,1,198.96917801186882
50578,7096488,24000.0,24000.0, 36 months,19.52,886.07,D,10+ years,RENT,80000.0,Source Verified,2013-09-01,Charged Off,debt_consolidation,25.02,0.0,1994-12-01,10.0,0.0,38345.0,91.7,20754.8,2015-06-01,2148.03,0.0,175423.0,99.7,24000.0,2.0,100.0,28.0,D4,0.0,0.0,1,20.961416045504013,36,1,225.02310109037145
