,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity
19566,-122.43,37.43,17.0,11999.0,2249.0,5467.0,1989.0,4.8405,NEAR OCEAN
12834,-117.18,34.48,8.0,3561.0,691.0,2156.0,659.0,2.7778,INLAND
19501,-118.47,34.3,16.0,2495.0,551.0,2314.0,567.0,3.6736,<1H OCEAN
6172,-117.79,33.68,9.0,1633.0,295.0,928.0,297.0,5.7858,<1H OCEAN
4694,-122.42,37.77,52.0,1925.0,568.0,867.0,515.0,2.879,NEAR BAY
20482,-119.0,35.37,41.0,303.0,78.0,216.0,80.0,2.2212,INLAND
1910,-121.35,38.65,20.0,2498.0,546.0,1185.0,506.0,3.2243,INLAND
4790,-121.97,37.54,28.0,2312.0,496.0,1344.0,467.0,4.7135,<1H OCEAN
4683,-116.9,33.93,34.0,3183.0,738.0,1820.0,647.0,2.2321,INLAND
10055,-117.68,33.49,16.0,3084.0,724.0,2557.0,690.0,2.8357,<1H OCEAN
4839,-121.79,38.54,7.0,1777.0,513.0,4479.0,504.0,1.4653,INLAND
5700,-122.5,37.75,43.0,2373.0,481.0,1247.0,454.0,4.0985,NEAR OCEAN
14568,-122.32,37.56,49.0,2016.0,299.0,691.0,288.0,5.549,NEAR OCEAN
6841,-122.48,37.71,29.0,1048.0,150.0,455.0,152.0,6.1278,NEAR OCEAN
4293,-122.34,40.57,24.0,1610.0,307.0,748.0,307.0,2.6591,INLAND
6650,-120.62,37.37,8.0,2608.0,428.0,1530.0,435.0,3.968,INLAND
1746,-118.24,33.96,44.0,1338.0,366.0,1765.0,388.0,1.7778,<1H OCEAN
8732,-121.13,37.47,37.0,1995.0,448.0,1559.0,443.0,2.1833,INLAND
2170,-121.42,36.86,41.0,440.0,106.0,389.0,94.0,2.6818,INLAND
1266,-122.03,37.99,35.0,3103.0,537.0,1614.0,566.0,4.9022,NEAR BAY
4430,-118.7,34.28,27.0,3536.0,646.0,1837.0,580.0,4.4964,<1H OCEAN
10654,-118.51,34.29,29.0,1287.0,194.0,525.0,187.0,6.4171,<1H OCEAN
2855,-117.07,32.75,9.0,3464.0,749.0,1687.0,645.0,3.3026,NEAR OCEAN
14621,-122.55,38.42,24.0,2220.0,411.0,894.0,365.0,4.2891,<1H OCEAN
468,-117.88,33.83,22.0,3522.0,543.0,1706.0,524.0,6.4685,<1H OCEAN
13797,-118.35,34.09,35.0,2234.0,689.0,1334.0,662.0,2.5444,<1H OCEAN
17771,-122.03,37.03,21.0,4650.0,733.0,2014.0,704.0,5.6233,NEAR OCEAN
13253,-122.09,37.71,35.0,2663.0,387.0,1086.0,367.0,5.1498,NEAR BAY
20352,-118.46,34.05,25.0,4077.0,1151.0,1719.0,1017.0,3.7721,<1H OCEAN
14452,-120.67,40.5,15.0,5343.0,,2503.0,902.0,3.5962,INLAND
1169,-120.02,38.92,24.0,1194.0,246.0,414.0,151.0,3.2396,INLAND
7317,-117.06,32.72,31.0,2669.0,514.0,1626.0,499.0,3.1923,NEAR OCEAN
8630,-118.17,33.77,45.0,2151.0,643.0,1047.0,579.0,3.1149,NEAR OCEAN
493,-122.37,37.95,32.0,1298.0,363.0,716.0,268.0,0.9797,NEAR BAY
15033,-120.77,37.01,28.0,1689.0,378.0,1057.0,267.0,3.125,INLAND
4831,-117.88,34.06,23.0,6689.0,1124.0,3081.0,1047.0,5.9254,<1H OCEAN
195,-122.02,37.94,23.0,3516.0,661.0,1465.0,623.0,4.2569,NEAR BAY
757,-115.41,32.99,29.0,1141.0,220.0,684.0,194.0,3.4038,INLAND
4628,-116.51,33.84,16.0,980.0,193.0,454.0,185.0,4.0729,INLAND
6398,-122.19,39.92,20.0,2563.0,658.0,1363.0,611.0,1.023,INLAND
9573,-117.92,34.05,36.0,2241.0,419.0,1743.0,448.0,4.6587,<1H OCEAN
14666,-121.47,38.5,17.0,1895.0,424.0,620.0,417.0,1.7188,INLAND
8197,-121.93,37.72,26.0,2806.0,459.0,1453.0,444.0,4.9107,<1H OCEAN
6609,-121.84,36.61,21.0,2876.0,802.0,2487.0,795.0,2.2007,<1H OCEAN
1385,-121.86,37.37,15.0,8162.0,2124.0,8793.0,2086.0,3.3306,<1H OCEAN
8200,-118.43,33.96,38.0,1104.0,216.0,415.0,163.0,6.1985,<1H OCEAN
13177,-122.03,37.99,37.0,1755.0,327.0,882.0,350.0,4.59,NEAR BAY
10675,-118.03,34.15,43.0,1694.0,283.0,674.0,267.0,4.1797,INLAND
12013,-119.67,36.65,20.0,2512.0,449.0,1464.0,450.0,3.9211,INLAND
639,-122.82,38.38,27.0,2565.0,479.0,1227.0,467.0,4.5132,<1H OCEAN
18048,-117.99,33.74,26.0,4065.0,741.0,1960.0,739.0,4.506,<1H OCEAN
1728,-118.36,33.79,34.0,5166.0,704.0,2071.0,668.0,8.3609,NEAR OCEAN
5192,-117.93,33.67,27.0,3512.0,472.0,1391.0,481.0,8.1001,<1H OCEAN
6059,-121.1,37.8,35.0,1853.0,331.0,958.0,340.0,3.3578,INLAND
2437,-118.32,33.77,37.0,627.0,95.0,259.0,106.0,6.887,<1H OCEAN
1948,-121.21,37.8,33.0,1862.0,429.0,971.0,389.0,2.6053,INLAND
3312,-121.73,38.55,34.0,1717.0,393.0,1224.0,387.0,2.7917,INLAND
5223,-118.35,34.22,19.0,9259.0,1653.0,3963.0,1595.0,5.997,<1H OCEAN
20047,-117.94,34.1,31.0,1239.0,254.0,929.0,244.0,3.3625,<1H OCEAN
6052,-118.43,34.23,35.0,2049.0,390.0,1286.0,385.0,4.4432,<1H OCEAN
3150,-118.63,34.24,9.0,4759.0,924.0,1884.0,915.0,4.8333,<1H OCEAN
3485,-119.88,36.83,2.0,4055.0,735.0,1730.0,654.0,4.2132,INLAND
19478,-117.26,34.48,6.0,4632.0,753.0,1851.0,694.0,4.1933,INLAND
873,-115.55,32.79,22.0,565.0,162.0,692.0,141.0,1.2083,INLAND
5994,-119.02,36.05,22.0,2078.0,431.0,1336.0,456.0,2.2202,INLAND
15407,-117.4,33.76,8.0,1954.0,330.0,973.0,321.0,4.4875,INLAND
148,-118.37,34.02,44.0,1944.0,458.0,981.0,377.0,2.6154,<1H OCEAN
12783,-122.02,36.98,21.0,607.0,155.0,226.0,136.0,1.9063,NEAR OCEAN
12509,-120.95,37.65,37.0,136.0,20.0,72.0,22.0,2.2279,INLAND
2831,-120.97,37.67,31.0,1648.0,293.0,792.0,294.0,2.4,INLAND
2060,-122.81,38.54,12.0,2289.0,611.0,919.0,540.0,1.1553,<1H OCEAN
17636,-122.0,36.98,43.0,1636.0,324.0,792.0,325.0,3.5562,NEAR OCEAN
8353,-122.14,37.43,52.0,1944.0,308.0,696.0,293.0,8.2664,NEAR BAY
8967,-122.95,38.73,37.0,1548.0,328.0,863.0,287.0,2.9792,<1H OCEAN
18425,-121.28,37.91,31.0,820.0,179.0,576.0,155.0,1.69,INLAND
1518,-118.35,33.89,25.0,1769.0,440.0,1371.0,414.0,3.0833,<1H OCEAN
6757,-118.48,34.02,29.0,1585.0,542.0,1019.0,487.0,2.7072,<1H OCEAN
8425,-122.68,38.76,29.0,994.0,226.0,302.0,117.0,2.3125,INLAND
12836,-118.4,34.14,52.0,1695.0,281.0,595.0,264.0,6.0678,<1H OCEAN
1501,-117.67,34.02,16.0,3042.0,524.0,1516.0,475.0,4.8906,INLAND
17420,-117.92,33.79,35.0,1785.0,288.0,1033.0,297.0,4.5739,<1H OCEAN
9496,-117.16,32.74,27.0,2335.0,604.0,982.0,590.0,3.1921,NEAR OCEAN
1361,-120.0,38.92,17.0,1106.0,207.0,466.0,180.0,3.3295,INLAND
17293,-117.98,33.76,24.0,1880.0,405.0,967.0,418.0,4.4545,<1H OCEAN
5686,-119.71,34.42,49.0,1560.0,436.0,1041.0,411.0,2.925,<1H OCEAN
17653,-121.52,39.5,33.0,1462.0,241.0,569.0,231.0,3.2833,INLAND
6476,-122.49,37.75,47.0,2140.0,425.0,1105.0,401.0,3.7054,NEAR OCEAN
697,-117.96,33.76,24.0,1328.0,290.0,1012.0,306.0,4.2813,<1H OCEAN
1156,-119.79,36.78,41.0,2227.0,462.0,1129.0,415.0,2.319,INLAND
4494,-118.38,34.04,36.0,3005.0,771.0,2054.0,758.0,2.0437,<1H OCEAN
7475,-119.8,36.02,20.0,156.0,39.0,171.0,37.0,3.05,INLAND
10845,-121.26,38.11,4.0,2058.0,366.0,933.0,316.0,4.2448,INLAND
19033,-118.45,34.08,52.0,1500.0,176.0,384.0,145.0,7.1576,<1H OCEAN
15550,-118.44,34.19,29.0,1599.0,459.0,1143.0,438.0,2.4583,<1H OCEAN
5023,-122.22,37.36,34.0,1559.0,243.0,600.0,242.0,8.7382,NEAR OCEAN
5266,-118.43,34.03,36.0,1552.0,388.0,867.0,352.0,3.6467,<1H OCEAN
4791,-121.69,37.14,12.0,4077.0,590.0,1618.0,540.0,5.2951,<1H OCEAN
14379,-118.77,34.28,27.0,1416.0,251.0,1024.0,268.0,5.1074,<1H OCEAN
19036,-118.39,33.99,32.0,2612.0,418.0,1030.0,402.0,6.603,<1H OCEAN
1724,-121.35,38.68,20.0,7085.0,1222.0,3455.0,1229.0,4.3118,INLAND
4129,-118.36,33.82,36.0,1784.0,311.0,901.0,293.0,6.2247,<1H OCEAN
15557,-121.27,38.31,17.0,1144.0,202.0,626.0,178.0,4.4107,INLAND
16610,-121.93,37.27,28.0,3428.0,753.0,1753.0,729.0,4.1033,<1H OCEAN
19839,-117.79,33.55,39.0,5066.0,1292.0,1915.0,1117.0,3.821,<1H OCEAN
13922,-118.4,33.87,45.0,2093.0,497.0,842.0,472.0,6.3231,<1H OCEAN
11909,-116.15,33.69,22.0,197.0,54.0,331.0,70.0,2.9286,INLAND
2454,-118.54,34.18,17.0,7214.0,1994.0,4100.0,1823.0,3.0943,<1H OCEAN
6032,-117.73,34.01,36.0,2340.0,392.0,1213.0,388.0,4.125,INLAND
7386,-117.88,33.71,30.0,1739.0,359.0,1914.0,369.0,3.5551,<1H OCEAN
6728,-122.05,39.34,44.0,1064.0,230.0,494.0,175.0,2.875,INLAND
14786,-118.38,34.06,31.0,4345.0,1158.0,1987.0,1070.0,2.8233,<1H OCEAN
942,-121.45,38.37,32.0,1441.0,261.0,629.0,249.0,4.4519,INLAND
388,-122.01,37.58,17.0,4313.0,717.0,2629.0,721.0,5.7579,NEAR BAY
9885,-118.29,33.98,44.0,2261.0,555.0,1348.0,455.0,1.9125,<1H OCEAN
20256,-118.0,33.81,22.0,2642.0,640.0,1702.0,588.0,3.5268,<1H OCEAN
2356,-122.47,37.69,27.0,2447.0,720.0,2104.0,657.0,3.449,NEAR OCEAN
13539,-114.49,33.97,17.0,2809.0,635.0,83.0,45.0,1.6154,INLAND
6196,-118.09,33.93,37.0,1950.0,356.0,1183.0,338.0,4.1449,<1H OCEAN
5641,-118.4,33.9,37.0,2458.0,400.0,920.0,375.0,7.8924,<1H OCEAN
18337,-122.19,39.74,39.0,4179.0,814.0,2111.0,809.0,2.3507,INLAND
10,-122.26,37.85,52.0,2202.0,434.0,910.0,402.0,3.2031,NEAR BAY
13050,-121.62,36.69,12.0,512.0,144.0,767.0,149.0,2.2667,<1H OCEAN
1315,-118.35,34.17,44.0,2572.0,613.0,1280.0,570.0,3.5583,<1H OCEAN
564,-117.93,34.04,30.0,1336.0,239.0,905.0,253.0,4.8854,<1H OCEAN
18217,-117.96,34.03,35.0,2093.0,,1755.0,403.0,3.4115,<1H OCEAN
17670,-117.1,33.15,5.0,3159.0,685.0,1398.0,581.0,3.1467,<1H OCEAN
760,-118.38,33.79,32.0,10445.0,1620.0,4474.0,1576.0,7.7042,NEAR OCEAN
12243,-117.97,33.85,30.0,2513.0,476.0,1611.0,472.0,4.0061,<1H OCEAN
18464,-117.23,32.73,35.0,2914.0,683.0,1562.0,638.0,2.5259,NEAR OCEAN
11157,-122.22,37.47,35.0,367.0,113.0,398.0,109.0,2.5,NEAR OCEAN
11916,-118.24,33.94,39.0,1215.0,273.0,1211.0,265.0,1.7212,<1H OCEAN
13430,-122.48,37.93,16.0,2947.0,802.0,1385.0,743.0,3.6731,NEAR BAY
20171,-117.26,33.84,12.0,1159.0,209.0,523.0,159.0,2.7232,INLAND
5194,-117.96,33.67,16.0,5143.0,652.0,2209.0,637.0,7.0173,<1H OCEAN
6117,-122.39,37.74,42.0,4110.0,846.0,2147.0,674.0,2.5694,NEAR BAY
1870,-114.94,34.55,20.0,350.0,95.0,119.0,58.0,1.625,INLAND
7627,-118.16,34.16,43.0,1276.0,226.0,545.0,209.0,4.1518,<1H OCEAN
7660,-120.65,35.29,36.0,1940.0,315.0,850.0,298.0,3.1818,NEAR OCEAN
11575,-121.03,37.63,5.0,2881.0,584.0,1490.0,570.0,3.0398,INLAND
4712,-121.26,37.99,27.0,429.0,102.0,179.0,90.0,2.3333,INLAND
59,-122.29,37.82,2.0,158.0,43.0,94.0,57.0,2.5625,NEAR BAY
15913,-122.19,37.84,18.0,1617.0,210.0,533.0,194.0,11.6017,NEAR BAY
12266,-118.45,34.03,41.0,1240.0,320.0,711.0,304.0,3.3482,<1H OCEAN
16048,-120.4,37.92,22.0,1022.0,194.0,517.0,198.0,3.625,INLAND
20467,-119.83,36.77,32.0,2867.0,615.0,1705.0,570.0,2.4286,INLAND
8252,-122.45,37.79,52.0,2196.0,280.0,668.0,291.0,10.0914,NEAR BAY
18006,-122.56,38.01,21.0,2144.0,400.0,840.0,398.0,4.6,NEAR BAY
3006,-118.03,33.9,36.0,1143.0,193.0,826.0,188.0,5.3184,<1H OCEAN
14110,-119.85,36.97,13.0,2872.0,477.0,1607.0,481.0,4.475,INLAND
7095,-120.87,37.62,30.0,455.0,70.0,220.0,69.0,4.8958,INLAND
425,-122.01,37.18,37.0,3852.0,652.0,1534.0,567.0,5.8596,<1H OCEAN
10636,-122.68,38.36,8.0,7520.0,1336.0,3833.0,1287.0,4.3278,<1H OCEAN
20239,-117.2,32.79,16.0,2079.0,394.0,746.0,383.0,5.0958,NEAR OCEAN
14252,-117.97,33.74,18.0,2814.0,539.0,1439.0,493.0,3.599,<1H OCEAN
10120,-118.21,33.94,41.0,1807.0,442.0,1628.0,443.0,2.84,<1H OCEAN
15961,-118.13,34.04,42.0,2205.0,451.0,1392.0,423.0,4.3646,<1H OCEAN
7349,-116.95,32.79,19.0,11391.0,3093.0,7178.0,2905.0,2.0326,<1H OCEAN
10403,-116.42,33.51,26.0,186.0,48.0,102.0,39.0,2.5625,INLAND
11399,-118.25,33.79,38.0,1730.0,460.0,1724.0,424.0,2.7308,NEAR OCEAN
6540,-117.97,33.82,26.0,4013.0,985.0,2442.0,922.0,3.7655,<1H OCEAN
14593,-117.14,32.74,16.0,6075.0,1816.0,2592.0,1634.0,2.5553,NEAR OCEAN
12889,-120.46,34.64,11.0,562.0,164.0,504.0,147.0,2.0161,NEAR OCEAN
15003,-123.15,39.31,19.0,1026.0,205.0,424.0,152.0,2.8833,INLAND
544,-121.8,37.27,17.0,3912.0,737.0,2693.0,746.0,5.0772,<1H OCEAN
12427,-121.41,36.85,11.0,1708.0,394.0,1474.0,372.0,2.8839,INLAND
10551,-118.03,33.91,35.0,2323.0,406.0,1741.0,398.0,4.2437,<1H OCEAN
20337,-119.71,34.42,31.0,1643.0,499.0,1253.0,499.0,3.1563,<1H OCEAN
12613,-118.99,35.39,52.0,2805.0,573.0,1325.0,522.0,2.5083,INLAND
8784,-118.28,34.26,32.0,1079.0,207.0,486.0,167.0,4.9833,<1H OCEAN
472,-118.2,33.81,46.0,1388.0,254.0,742.0,241.0,4.6458,NEAR OCEAN
18967,-117.01,32.7,25.0,2321.0,398.0,1434.0,386.0,3.5341,NEAR OCEAN
20517,-118.36,33.88,25.0,2845.0,710.0,1611.0,628.0,3.2049,<1H OCEAN
2840,-117.1,32.7,42.0,2002.0,488.0,1505.0,464.0,1.5057,NEAR OCEAN
8267,-117.03,32.69,10.0,901.0,163.0,698.0,167.0,4.6648,NEAR OCEAN
15767,-118.15,34.04,33.0,818.0,195.0,664.0,198.0,2.1944,<1H OCEAN
8466,-118.13,34.14,23.0,5465.0,1494.0,2511.0,1359.0,3.4531,<1H OCEAN
7721,-118.32,34.19,37.0,1335.0,249.0,485.0,240.0,4.1731,<1H OCEAN
1287,-121.82,37.35,24.0,2298.0,575.0,2409.0,569.0,3.4509,<1H OCEAN
12160,-117.65,33.57,5.0,1998.0,500.0,1185.0,446.0,4.3542,<1H OCEAN
11889,-118.05,34.04,33.0,1348.0,,1098.0,257.0,4.2917,<1H OCEAN
4049,-121.79,39.48,39.0,1105.0,180.0,408.0,166.0,3.3929,INLAND
11520,-118.43,34.25,32.0,2433.0,553.0,2318.0,532.0,3.6384,<1H OCEAN
14884,-118.14,33.77,51.0,2812.0,621.0,1171.0,566.0,3.875,NEAR OCEAN
11987,-122.41,37.76,52.0,492.0,139.0,316.0,168.0,3.0865,NEAR BAY
17008,-118.1,33.93,33.0,1474.0,325.0,1205.0,335.0,3.1397,<1H OCEAN
8843,-117.95,33.69,26.0,1417.0,264.0,817.0,261.0,4.875,<1H OCEAN
13200,-123.22,39.28,16.0,5569.0,1106.0,3148.0,1088.0,3.1455,<1H OCEAN
12122,-114.65,33.6,28.0,1678.0,322.0,666.0,256.0,2.9653,INLAND
19999,-119.17,34.16,17.0,5276.0,1020.0,4066.0,984.0,4.5828,NEAR OCEAN
20051,-117.07,32.75,14.0,3073.0,851.0,2000.0,782.0,2.3824,NEAR OCEAN
17343,-121.92,36.62,52.0,1001.0,191.0,425.0,184.0,3.7614,NEAR OCEAN
6188,-117.11,32.79,16.0,2574.0,771.0,1129.0,721.0,3.3849,NEAR OCEAN
14413,-118.09,34.0,36.0,1722.0,353.0,1174.0,335.0,3.045,<1H OCEAN
7912,-120.01,38.92,25.0,1758.0,357.0,689.0,278.0,2.675,INLAND
8162,-121.85,39.72,18.0,7272.0,1559.0,5022.0,1524.0,1.6911,INLAND
3282,-121.92,36.62,47.0,1811.0,401.0,948.0,375.0,3.0379,NEAR OCEAN
6154,-122.05,37.68,32.0,2015.0,318.0,1019.0,340.0,6.1104,NEAR BAY
20325,-118.88,34.17,15.0,4260.0,,1701.0,669.0,5.1033,<1H OCEAN
1209,-118.59,34.23,14.0,4407.0,1209.0,2676.0,1128.0,3.4091,<1H OCEAN
1858,-122.0,37.39,36.0,1236.0,229.0,880.0,247.0,5.791,<1H OCEAN
12378,-121.89,37.27,28.0,1481.0,256.0,688.0,221.0,5.2088,<1H OCEAN
2305,-122.28,37.54,37.0,991.0,180.0,463.0,177.0,5.1701,NEAR OCEAN
16417,-121.35,38.55,18.0,4481.0,780.0,2211.0,775.0,3.9934,INLAND
8699,-118.36,34.07,40.0,1821.0,447.0,777.0,441.0,2.3375,<1H OCEAN
2244,-122.25,38.1,52.0,1591.0,372.0,817.0,357.0,2.1411,NEAR BAY
12510,-121.23,37.98,27.0,849.0,137.0,373.0,131.0,5.0362,INLAND
15946,-117.74,34.11,28.0,3494.0,566.0,1391.0,522.0,5.3637,INLAND
8172,-122.63,38.95,11.0,686.0,127.0,246.0,86.0,1.7083,INLAND
5703,-118.2,34.13,30.0,3369.0,824.0,2032.0,795.0,4.0052,<1H OCEAN
2258,-118.4,33.86,18.0,5152.0,1365.0,2286.0,1243.0,5.1677,<1H OCEAN
18545,-117.95,34.16,17.0,7116.0,1089.0,3538.0,1083.0,6.2654,INLAND
4886,-120.45,37.31,20.0,4379.0,753.0,2055.0,716.0,3.7652,INLAND
13333,-122.47,37.66,18.0,4172.0,806.0,3226.0,790.0,5.7535,NEAR OCEAN
1028,-123.01,38.8,21.0,360.0,96.0,131.0,74.0,3.5156,<1H OCEAN
16653,-118.19,34.09,41.0,2090.0,530.0,2043.0,537.0,1.9706,<1H OCEAN
6649,-122.5,37.77,52.0,1769.0,414.0,1032.0,380.0,3.9954,NEAR BAY
13819,-122.09,37.4,24.0,3983.0,1126.0,2645.0,1072.0,3.6742,NEAR BAY
1684,-118.4,34.15,31.0,3881.0,909.0,1535.0,846.0,3.0398,<1H OCEAN
16840,-118.27,34.07,38.0,1270.0,556.0,1692.0,450.0,1.87,<1H OCEAN
6686,-117.28,34.15,32.0,2170.0,430.0,815.0,401.0,3.1765,INLAND
16624,-117.89,33.61,42.0,1301.0,280.0,539.0,249.0,5.0,<1H OCEAN
17154,-121.45,38.52,37.0,1477.0,321.0,888.0,312.0,2.5592,INLAND
12899,-121.16,38.16,31.0,1953.0,366.0,999.0,316.0,2.4906,INLAND
10816,-119.02,35.35,38.0,1472.0,305.0,670.0,282.0,2.2407,INLAND
7782,-121.45,38.63,28.0,1246.0,295.0,884.0,258.0,1.4397,INLAND
2993,-122.39,37.57,35.0,520.0,83.0,185.0,76.0,6.4865,NEAR OCEAN
16957,-118.2,34.05,50.0,1407.0,401.0,1526.0,385.0,2.29,<1H OCEAN
14681,-122.43,37.75,52.0,3521.0,767.0,1415.0,687.0,4.875,NEAR BAY
19870,-117.7,33.62,19.0,2957.0,492.0,1639.0,495.0,5.0686,<1H OCEAN
4433,-120.92,38.86,11.0,1720.0,345.0,850.0,326.0,3.2027,INLAND
18925,-121.3,38.59,25.0,3002.0,718.0,1660.0,613.0,2.1116,INLAND
