,0
533,3
534,0
535,1
536,3
537,0
538,1
539,2
540,0
541,1
542,0
543,0
544,0
545,0
546,0
547,0
548,0
549,0
550,0
551,3
552,0
553,1
554,1
555,1
556,1
557,0
558,2
559,0
560,3
561,1
562,2
563,2
564,1
565,2
566,3
567,1
568,3
569,0
570,1
571,1
572,0
573,2
574,3
575,1
576,0
577,2
578,0
579,0
580,1
581,2
582,3
583,0
584,1
585,0
586,1
587,1
588,3
589,1
590,0
591,0
592,1
593,1
594,0
595,2
596,0
597,0
598,2
599,1
600,1
601,1
602,0
603,1
604,3
605,2
606,0
607,2
608,0
609,0
610,1
611,0
612,0
613,2
614,2
615,2
616,3
617,1
618,3
619,1
620,0
621,2
622,0
623,2
624,1
625,2
626,0
627,1
628,2
629,0
630,0
631,3
632,2
633,0
634,2
635,0
636,0
637,2
638,0
639,3
640,1
641,2
642,3
643,0
644,2
645,0
646,1
647,0
648,1
649,0
650,2
651,1
652,0
653,0
654,0
655,1
656,2
657,1
658,0
659,2
660,3
661,0
662,0
663,0
664,0
665,1
666,2
667,3
668,0
669,3
670,1
671,0
672,0
673,3
674,1
675,0
676,1
677,1
678,0
679,0
680,2
681,0
682,1
683,0
684,1
685,3
686,0
687,2
688,2
689,1
690,2
691,1
692,0
693,1
694,1
695,1
696,1
697,0
698,1
699,0
700,0
701,3
702,1
703,0
704,1
705,1
706,1
707,0
708,1
709,1
710,1
711,1
712,1
713,3
714,1
715,0
716,1
717,2
718,1
719,2
720,3
721,0
722,1
723,0
724,3
725,2
726,0
727,1
728,1
729,3
730,1
731,1
732,0
733,1
734,2
735,1
736,0
737,0
738,1
739,1
740,2
741,0
742,1
743,1
744,1
745,1
746,1
747,1
748,1
749,1
750,2
751,1
752,0
753,0
754,0
755,0
756,0
757,0
758,2
759,2
760,0
761,1
762,0
763,1
764,3
765,0
766,1
767,0
768,2
769,1
770,1
771,3
772,1
773,2
774,0
775,3
776,1
777,1
778,3
779,0
780,2
781,1
782,2
783,1
784,2
785,0
786,3
787,1
788,0
789,0
790,1
791,2
792,1
793,3
794,2
795,1
796,3
797,1
798,0
799,3
800,0
801,1
802,2
803,0
804,2
805,1
806,2
807,0
808,0
809,0
810,3
811,3
812,3
813,3
814,2
815,1
816,0
817,1
818,1
819,2
820,1
821,1
822,1
823,2
824,2
825,1
826,0
827,2
828,3
829,0
830,1
831,0
832,0
833,1
834,3
835,3
836,1
837,2
838,1
839,1
840,3
841,0
842,1
843,0
844,2
845,2
846,3
847,1
848,2
849,1
850,1
851,2
852,1
853,3
854,3
855,0
856,1
857,1
858,1
859,3
860,3
861,0
862,2
863,0
864,3
865,1
866,0
867,1
868,2
869,0
870,1
871,3
872,3
873,1
874,2
875,1
876,2
877,0
878,3
879,2
880,2
881,2
882,2
883,1
884,3
885,0
886,2
887,3
888,2
889,1
890,2
891,1
892,0
893,0
894,0
895,0
896,0
897,0
898,2
899,1
900,0
901,3
902,1
903,0
904,3
905,1
906,1
907,1
908,1
909,3
910,0
911,3
912,1
913,0
914,1
915,1
916,1
917,1
918,0
919,1
920,0
921,1
922,1
923,1
924,1
925,0
926,1
927,1
928,0
929,0
930,0
931,1
932,3
933,2
934,0
935,1
936,1
937,1
938,0
939,1
940,1
941,0
942,0
943,1
944,1
945,0
946,3
947,3
948,3
949,0
950,2
951,2
952,2
953,0
954,1
955,1
956,1
957,2
958,0
959,2
960,2
961,0
962,0
963,1
964,2
965,3
966,3
967,0
968,2
969,3
970,3
971,1
972,1
973,0
974,0
975,2
976,2
977,2
978,1
979,1
980,1
981,1
982,1
983,2
984,0
985,3
986,1
987,2
988,0
989,0
990,2
991,2
992,0
993,3
994,0
995,3
996,2
997,0
998,1
999,1
1000,2
1001,0
1002,2
1003,1
1004,2
1005,0
1006,0
1007,3
1008,1
1009,0
1010,1
1011,0
1012,1
1013,1
1014,0
1015,0
1016,1
1017,3
1018,1
1019,0
1020,2
1021,3
1022,0
1023,0
1024,2
1025,2
1026,0
1027,2
1028,1
1029,1
1030,1
1031,3
1032,1
1033,1
1034,2
1035,0
1036,3
1037,0
1038,1
1039,1
1040,1
1041,0
1042,2
1043,1
1044,3
1045,1
1046,0
1047,2
1048,0
1049,0
1050,0
1051,1
1052,1
1053,0
1054,0
1055,1
1056,0
1057,1
1058,3
1059,0
1060,1
1061,3
1062,2
1063,1
1064,0
1065,0
1066,3
1067,1
1068,1
1069,2
1070,0
1071,3
1072,0
1073,2
1074,3
1075,1
1076,0
1077,1
1078,3
1079,2
1080,0
1081,0
1082,0
1083,2
1084,1
1085,0
1086,1
1087,1
1088,0
1089,1
1090,1
1091,0
1092,1
1093,2
1094,0
1095,1
1096,0
1097,0
1098,0
1099,1
1100,3
1101,2
1102,2
1103,1
1104,0
1105,1
1106,1
1107,0
1108,3
1109,2
1110,3
1111,1
1112,1
1113,0
1114,2
1115,1
1116,2
1117,2
1118,1
1119,0
1120,1
1121,0
1122,2
1123,0
1124,0
1125,0
1126,2
1127,1
1128,3
1129,0
1130,1
1131,3
1132,2
1133,1
1134,1
1135,1
1136,1
1137,3
1138,0
1139,0
1140,3
1141,3
1142,1
1143,0
1144,2
1145,1
1146,0
1147,1
1148,1
1149,3
1150,0
1151,1
1152,2
1153,0
1154,2
1155,0
1156,1
1157,0
1158,0
1159,0
1160,1
1161,1
1162,3
1163,0
1164,2
1165,1
1166,3
1167,3
1168,1
1169,0
1170,1
1171,1
1172,1
1173,0
1174,1
1175,2
1176,1
1177,1
1178,1
1179,2
1180,0
1181,3
1182,1
1183,1
1184,1
1185,0
1186,1
1187,1
1188,0
1189,3
1190,2
1191,0
1192,2
1193,1
1194,2
1195,1
1196,3
1197,0
1198,1
1199,0
1200,1
1201,2
1202,1
1203,1
1204,2
1205,2
1206,0
1207,2
1208,3
1209,0
1210,0
1211,0
1212,3
1213,1
1214,0
1215,3
1216,0
1217,2
1218,2
1219,2
1220,0
1221,2
1222,1
1223,3
1224,3
1225,1
1226,1
1227,2
1228,2
1229,0
1230,0
1231,3
1232,0
1233,1
1234,0
1235,1
1236,2
1237,0
1238,1
1239,1
1240,3
1241,2
1242,1
1243,3
1244,0
1245,1
1246,0
1247,0
1248,1
1249,3
1250,0
1251,2
1252,1
1253,1
1254,3
1255,0
1256,0
1257,0
1258,1
1259,0
1260,2
1261,1
1262,1
1263,1
1264,0
1265,2
1266,1
1267,2
1268,3
1269,3
1270,2
1271,3
1272,0
1273,3
1274,1
1275,0
1276,3
1277,3
1278,1
1279,0
1280,3
1281,0
1282,1
1283,1
1284,0
1285,0
1286,1
1287,0
1288,1
1289,1
1290,1
1291,1
1292,0
1293,0
1294,1
1295,0
1296,0
1297,0
1298,2
1299,2
1300,0
1301,1
1302,0
1303,3
1304,0
1305,2
1306,1
1307,1
1308,0
1309,0
1310,1
1311,1
1312,0
1313,1
1314,3
1315,1
1316,0
1317,1
1318,2
1319,3
1320,0
1321,1
1322,1
1323,0
1324,0
1325,1
1326,3
1327,3
1328,1
1329,0
1330,2
1331,0
1332,3
1333,2
1334,0
1335,1
1336,1
1337,1
1338,1
1339,1
1340,1
1341,1
1342,3
1343,0
1344,1
1345,3
1346,2
1347,2
1348,2
1349,0
1350,0
1351,3
1352,0
1353,1
1354,0
1355,3
1356,3
1357,2
1358,1
1359,0
1360,0
1361,3
1362,0
1363,3
1364,3
1365,0
1366,3
1367,2
1368,3
1369,1
1370,3
1371,3
1372,3
1373,0
1374,0
1375,1
1376,3
1377,3
1378,0
1379,2
1380,1
1381,1
1382,0
1383,0
1384,1
1385,1
1386,3
1387,1
1388,1
1389,0
1390,2
1391,1
1392,3
1393,1
1394,0
1395,1
1396,0
1397,0
1398,3
1399,2
1400,3
1401,1
1402,2
1403,0
1404,2
1405,0
1406,2
1407,1
1408,3
1409,0
1410,1
1411,3
1412,0
1413,2
1414,2
1415,2
1416,1
1417,0
1418,0
1419,1
1420,1
1421,2
1422,1
1423,1
1424,1
1425,0
1426,0
1427,0
1428,3
1429,3
1430,0
1431,1
1432,2
1433,2
1434,1
1435,3
1436,0
1437,3
1438,0
1439,2
1440,1
1441,0
1442,1
1443,1
1444,0
1445,3
1446,0
1447,3
1448,3
1449,1
1450,1
1451,1
1452,2
1453,1
1454,1
1455,1
1456,2
1457,1
1458,0
1459,3
1460,0
1461,2
1462,3
1463,2
1464,1
1465,2
1466,0
1467,0
1468,1
1469,1
1470,0
1471,3
1472,3
1473,0
1474,1
1475,1
1476,0
1477,1
1478,2
1479,2
1480,0
1481,1
1482,0
1483,0
1484,1
1485,1
1486,1
1487,3
1488,0
1489,1
1490,0
1491,3
1492,1
1493,2
1494,0
1495,1
1496,3
1497,1
1498,0
1499,1
1500,1
1501,0
1502,0
1503,1
1504,1
1505,0
1506,0
1507,1
1508,2
1509,0
1510,3
1511,3
1512,0
1513,2
1514,3
1515,0
1516,0
1517,1
1518,1
1519,2
1520,0
1521,2
1522,0
1523,1
1524,2
1525,0
1526,0
1527,1
1528,1
1529,1
1530,1
1531,1
1532,1
1533,0
1534,2
1535,1
1536,1
1537,0
1538,1
1539,1
1540,0
1541,1
1542,1
1543,3
1544,0
1545,1
1546,1
1547,0
1548,3
1549,0
1550,0
1551,1
1552,3
1553,0
1554,2
1555,0
1556,0
1557,1
1558,0
1559,3
1560,2
1561,0
1562,2
1563,2
1564,1
1565,3
1566,1
1567,2
1568,1
1569,1
1570,2
1571,1
1572,3
1573,0
1574,1
1575,0
1576,0
1577,0
1578,0
1579,2
1580,0
1581,0
1582,2
1583,1
1584,0
1585,1
1586,0
1587,3
1588,1
1589,1
1590,2
1591,1
1592,1
1593,0
1594,0
1595,2
1596,2
1597,0
1598,2
1599,1
1600,2
1601,1
1602,1
1603,3
1604,1
1605,3
1606,1
1607,3
1608,1
1609,1
1610,0
1611,3
1612,0
1613,0
1614,0
1615,1
1616,0
1617,1
1618,0
1619,0
1620,1
1621,2
1622,3
1623,1
1624,0
1625,1
1626,3
1627,0
1628,0
1629,1
1630,1
1631,0
1632,0
1633,0
1634,2
1635,1
1636,3
1637,1
1638,1
1639,3
1640,0
1641,2
1642,0
1643,1
1644,0
1645,0
1646,2
1647,1
1648,1
1649,1
1650,1
1651,3
1652,0
1653,1
1654,0
1655,0
1656,3
1657,1
1658,1
1659,1
1660,2
1661,1
1662,0
1663,2
1664,1
1665,1
1666,1
1667,0
1668,1
1669,0
1670,1
1671,1
1672,1
1673,0
1674,2
1675,0
1676,0
1677,1
1678,1
1679,2
1680,1
1681,0
1682,0
1683,1
1684,2
1685,2
1686,0
1687,1
1688,1
1689,0
1690,1
1691,0
1692,1
1693,2
1694,0
1695,1
1696,0
1697,0
1698,0
1699,0
1700,1
1701,2
1702,1
1703,0
1704,0
1705,3
1706,2
1707,0
1708,0
1709,0
1710,1
1711,2
1712,0
1713,2
1714,0
1715,2
1716,1
1717,1
1718,0
1719,2
1720,1
1721,1
1722,0
1723,3
1724,1
1725,0
1726,1
1727,1
1728,1
1729,1
1730,3
1731,1
1732,0
1733,3
1734,2
1735,2
1736,0
1737,1
1738,2
1739,1
1740,0
1741,2
1742,2
1743,0
1744,1
1745,0
1746,1
1747,0
1748,2
1749,0
1750,1
1751,0
1752,0
1753,0
1754,3
1755,2
1756,0
1757,0
1758,0
1759,0
1760,0
1761,2
1762,2
1763,0
1764,0
1765,0
1766,0
1767,2
1768,0
1769,3
1770,2
1771,3
1772,2
1773,3
1774,1
1775,0
1776,1
1777,2
1778,2
1779,3
1780,3
1781,0
1782,0
1783,0
1784,0
1785,1
1786,1
1787,1
1788,1
1789,3
1790,0
1791,0
1792,0
1793,3
1794,0
1795,1
1796,0
1797,2
1798,2
1799,2
1800,0
1801,2
1802,2
1803,3
1804,3
1805,1
1806,0
1807,1
1808,3
1809,1
1810,0
1811,1
1812,3
1813,1
1814,2
1815,2
1816,3
1817,1
1818,0
1819,0
1820,1
1821,2
1822,0
1823,3
1824,3
1825,0
1826,1
1827,0
1828,1
1829,1
1830,0
1831,2
1832,0
1833,0
1834,0
1835,1
1836,0
1837,1
1838,1
1839,1
1840,3
1841,0
1842,0
1843,0
1844,1
1845,0
1846,0
1847,1
1848,1
1849,2
1850,2
1851,2
1852,0
1853,1
1854,1
1855,2
1856,2
1857,0
1858,1
1859,1
1860,0
1861,0
1862,0
1863,1
1864,3
1865,2
1866,2
1867,1
1868,0
1869,1
1870,0
1871,0
1872,2
1873,0
1874,0
1875,1
1876,0
1877,0
1878,1
1879,0
1880,1
1881,3
1882,0
1883,0
1884,0
1885,1
1886,1
1887,0
1888,1
1889,1
1890,2
1891,0
1892,1
1893,0
1894,0
1895,1
1896,1
1897,1
1898,1
1899,2
1900,0
1901,1
1902,0
1903,0
1904,3
1905,2
1906,2
1907,1
1908,1
1909,1
1910,2
1911,0
1912,2
1913,0
1914,1
1915,1
1916,1
1917,0
1918,3
1919,3
1920,0
1921,0
1922,3
1923,0
1924,0
1925,1
1926,2
1927,0
1928,2
1929,0
1930,1
1931,0
1932,1
1933,2
1934,2
1935,1
1936,2
1937,0
1938,1
1939,0
1940,1
1941,2
1942,1
1943,1
1944,3
1945,2
1946,0
1947,2
1948,0
1949,1
1950,1
1951,3
1952,1
1953,1
1954,2
1955,2
1956,1
1957,0
1958,3
1959,1
1960,2
1961,1
1962,3
1963,3
1964,0
1965,1
1966,0
1967,2
1968,0
1969,3
1970,0
1971,3
1972,0
1973,3
1974,1
1975,0
1976,3
1977,0
1978,2
1979,2
1980,2
1981,0
1982,0
1983,1
1984,1
1985,2
1986,3
1987,0
1988,0
1989,2
1990,3
1991,1
1992,2
1993,3
1994,1
1995,3
1996,3
1997,0
1998,2
1999,0
2000,2
2001,1
2002,1
2003,1
2004,1
2005,0
2006,3
2007,2
2008,1
2009,1
2010,0
2011,1
2012,0
2013,1
2014,0
2015,1
2016,1
2017,1
2018,0
2019,1
2020,0
2021,0
2022,0
2023,0
2024,0
2025,1
2026,2
2027,3
2028,1
2029,2
2030,0
2031,1
2032,1
2033,2
2034,0
2035,1
2036,1
2037,2
2038,1
2039,0
2040,1
2041,0
2042,1
2043,0
2044,0
2045,1
2046,1
2047,1
2048,1
2049,0
2050,1
2051,1
2052,0
2053,0
2054,1
2055,0
2056,2
2057,0
2058,0
2059,2
2060,2
2061,0
2062,2
2063,0
2064,2
2065,0
2066,1
2067,0
2068,2
2069,0
2070,2
2071,0
2072,0
2073,0
2074,0
2075,1
2076,1
2077,1
2078,0
2079,1
2080,2
2081,1
2082,0
2083,2
2084,1
2085,2
2086,2
2087,2
2088,1
2089,0
2090,0
2091,2
2092,0
2093,1
2094,0
2095,0
2096,3
2097,2
2098,3
2099,2
2100,3
2101,2
2102,0
2103,1
2104,1
2105,1
2106,1
2107,1
2108,0
2109,2
2110,0
2111,1
2112,0
2113,1
2114,2
2115,0
2116,1
2117,0
2118,1
2119,1
2120,1
2121,1
2122,1
2123,0
2124,2
2125,1
2126,0
2127,1
2128,1
2129,0
2130,1
2131,1
2132,0
2133,3
2134,1
2135,0
2136,3
2137,3
2138,0
2139,3
2140,1
2141,1
2142,1
2143,1
2144,2
2145,0
2146,3
2147,3
2148,1
2149,3
2150,1
2151,2
2152,2
2153,0
2154,1
2155,0
2156,1
2157,1
2158,0
2159,2
2160,0
2161,3
2162,1
2163,3
2164,1
2165,3
2166,1
2167,0
2168,0
2169,0
2170,0
2171,2
2172,1
2173,2
2174,1
2175,0
2176,3
2177,1
2178,1
2179,1
2180,0
2181,2
2182,1
2183,1
2184,1
2185,3
2186,2
2187,1
2188,1
2189,1
2190,0
2191,2
2192,2
2193,2
2194,3
2195,2
2196,1
2197,0
2198,1
2199,1
2200,0
2201,1
2202,2
2203,0
2204,0
2205,1
2206,3
2207,1
2208,0
2209,3
2210,1
2211,2
2212,3
2213,2
2214,0
2215,0
2216,0
2217,1
2218,0
2219,2
2220,0
2221,1
2222,2
2223,0
2224,1
2225,0
2226,1
2227,0
2228,2
2229,1
2230,1
2231,0
2232,1
2233,1
2234,3
2235,3
2236,0
2237,1
2238,1
2239,1
2240,0
2241,2
2242,0
2243,2
2244,0
2245,2
2246,1
2247,1
2248,0
2249,2
2250,3
2251,1
2252,0
2253,3
2254,0
2255,3
2256,1
2257,1
2258,1
2259,1
2260,1
2261,1
2262,0
2263,1
2264,0
2265,2
2266,0
2267,1
2268,0
2269,1
2270,2
2271,2
2272,1
2273,1
2274,0
2275,0
2276,1
2277,2
2278,3
2279,1
2280,1
2281,1
2282,0
2283,1
2284,1
2285,2
2286,2
2287,2
2288,0
2289,0
2290,3
2291,1
2292,1
2293,2
2294,0
2295,2
2296,0
2297,2
2298,3
2299,0
2300,3
2301,1
2302,3
2303,0
2304,3
2305,1
2306,0
2307,0
2308,2
2309,1
2310,2
2311,1
2312,1
2313,1
2314,1
2315,1
2316,0
2317,0
2318,0
2319,0
2320,1
2321,1
2322,1
2323,3
2324,2
2325,1
2326,2
2327,0
2328,2
2329,3
2330,2
2331,2
2332,1
2333,2
2334,1
2335,3
2336,0
2337,0
2338,1
2339,1
2340,0
2341,1
2342,0
2343,0
2344,0
2345,0
2346,1
2347,3
2348,0
2349,1
2350,1
2351,0
2352,0
2353,1
2354,0
2355,2
2356,1
2357,3
2358,1
2359,2
2360,0
2361,0
2362,1
2363,0
2364,0
2365,1
2366,0
2367,1
2368,0
2369,0
2370,2
2371,1
2372,0
2373,2
2374,3
2375,0
2376,1
2377,0
2378,2
2379,0
2380,1
2381,1
2382,1
2383,0
2384,2
2385,1
2386,0
2387,1
2388,0
2389,2
2390,0
2391,3
2392,0
2393,3
2394,0
2395,3
2396,0
2397,1
2398,2
2399,3
2400,2
2401,1
2402,2
2403,0
2404,1
2405,0
2406,1
2407,1
2408,3
2409,3
2410,2
2411,0
2412,0
2413,2
2414,3
2415,3
2416,1
2417,0
2418,1
2419,1
2420,0
2421,1
2422,0
2423,1
2424,1
2425,1
2426,2
2427,1
2428,1
2429,1
2430,3
2431,2
2432,0
2433,2
2434,0
2435,3
2436,0
2437,1
2438,1
2439,2
2440,1
2441,3
2442,2
2443,0
2444,1
2445,0
2446,0
2447,0
2448,3
2449,1
2450,1
2451,2
2452,2
2453,0
2454,0
2455,2
2456,0
2457,1
2458,3
2459,0
2460,0
2461,0
2462,1
2463,1
2464,0
2465,0
2466,3
2467,3
2468,2
2469,0
2470,0
2471,3
2472,3
2473,1
2474,1
2475,1
2476,0
2477,1
2478,3
2479,2
2480,1
2481,2
2482,3
2483,1
2484,3
2485,0
2486,2
2487,2
2488,3
2489,0
2490,0
2491,0
2492,1
2493,0
2494,1
2495,2
2496,2
2497,1
2498,0
2499,2
2500,0
2501,3
2502,0
2503,3
2504,0
2505,0
2506,2
2507,1
2508,1
2509,3
2510,1
2511,2
2512,1
2513,0
2514,1
2515,1
2516,0
2517,1
2518,0
2519,0
2520,1
2521,0
2522,3
2523,1
2524,2
2525,3
2526,0
2527,2
2528,0
2529,1
2530,1
2531,3
2532,0
2533,1
2534,0
2535,1
2536,1
2537,0
2538,3
2539,2
2540,0
2541,0
2542,3
2543,2
2544,2
2545,0
2546,2
2547,1
2548,0
2549,3
2550,1
2551,1
2552,2
2553,0
2554,0
2555,1
2556,1
2557,1
2558,3
2559,1
2560,3
2561,0
2562,0
2563,1
2564,0
2565,2
2566,3
2567,1
2568,1
2569,1
2570,0
2571,2
2572,2
2573,1
2574,3
2575,0
2576,1
2577,0
2578,1
2579,0
2580,0
2581,0
2582,2
2583,3
2584,1
2585,1
2586,0
2587,1
2588,1
2589,2
2590,1
2591,1
2592,2
2593,0
2594,0
2595,1
2596,2
2597,2
2598,0
2599,1
2600,3
2601,2
2602,0
2603,3
2604,0
2605,3
2606,1
2607,0
2608,1
2609,0
2610,1
2611,1
2612,0
2613,3
2614,1
2615,2
2616,1
2617,1
2618,1
2619,1
2620,2
2621,0
2622,0
2623,2
2624,2
2625,2
2626,2
2627,1
2628,2
2629,2
2630,1
2631,2
2632,0
2633,1
2634,0
2635,3
2636,0
2637,2
2638,0
2639,0
2640,2
2641,1
2642,1
2643,3
2644,1
2645,0
2646,3
2647,1
2648,0
2649,3
2650,3
2651,3
2652,1
2653,0
2654,0
2655,3
2656,3
2657,3
2658,1
2659,0
2660,3
2661,0
2662,0
2663,0
2664,0
2665,0
2666,0
2667,2
2668,1
2669,0
2670,2
2671,0
2672,0
2673,1
2674,2
2675,1
2676,1
2677,2
2678,0
2679,2
2680,2
2681,2
2682,1
2683,2
2684,2
2685,2
2686,2
2687,3
2688,0
2689,1
2690,2
2691,0
2692,1
2693,1
2694,3
2695,2
2696,2
2697,1
2698,3
2699,1
2700,0
2701,2
2702,0
2703,1
2704,3
2705,1
2706,3
2707,0
2708,3
2709,3
2710,1
2711,0
2712,1
2713,0
2714,1
2715,2
2716,0
2717,0
2718,1
2719,0
2720,1
2721,0
2722,3
2723,3
2724,3
2725,3
2726,1
2727,0
2728,0
2729,0
2730,2
2731,3
2732,3
2733,1
2734,2
2735,0
2736,0
2737,2
2738,1
2739,0
2740,2
2741,0
2742,1
2743,1
2744,1
2745,1
2746,1
2747,3
2748,2
2749,1
2750,2
2751,1
2752,1
2753,1
2754,1
2755,2
2756,3
2757,2
2758,0
2759,3
2760,1
2761,2
2762,1
2763,2
2764,1
2765,2
2766,0
2767,3
2768,2
2769,1
2770,2
2771,2
2772,1
2773,2
2774,2
2775,0
2776,3
2777,1
2778,2
2779,2
2780,1
2781,1
2782,0
2783,1
2784,1
2785,2
2786,0
2787,3
2788,1
2789,0
2790,2
2791,3
2792,0
2793,3
2794,0
2795,0
2796,3
2797,1
2798,0
2799,2
2800,1
2801,0
2802,1
2803,2
2804,0
2805,1
2806,3
2807,3
2808,1
2809,1
2810,1
2811,2
2812,0
2813,0
2814,2
2815,1
2816,1
2817,1
2818,3
2819,1
2820,0
2821,0
2822,3
2823,1
2824,3
2825,0
2826,1
2827,2
2828,0
2829,0
2830,0
2831,3
2832,0
2833,1
2834,0
2835,0
2836,0
2837,0
2838,0
2839,0
2840,0
2841,0
2842,3
2843,1
2844,0
2845,0
2846,0
2847,2
2848,3
2849,2
2850,1
2851,3
2852,1
2853,1
2854,3
2855,1
2856,1
2857,0
2858,3
2859,3
2860,2
2861,1
2862,0
2863,0
2864,1
2865,1
2866,0
2867,3
2868,1
2869,1
2870,1
2871,1
2872,1
2873,1
2874,0
2875,1
2876,3
2877,1
2878,1
2879,1
2880,1
2881,2
2882,2
2883,1
2884,2
2885,1
2886,1
2887,1
2888,2
2889,1
2890,1
2891,0
2892,2
2893,1
2894,2
2895,1
2896,0
2897,1
2898,0
2899,1
2900,3
2901,0
2902,2
2903,1
2904,3
2905,1
2906,2
2907,3
2908,0
2909,0
2910,1
2911,1
2912,0
2913,3
2914,2
2915,1
2916,1
2917,2
2918,1
2919,1
2920,0
2921,2
2922,3
2923,0
2924,2
2925,0
2926,2
2927,2
2928,1
2929,0
2930,1
2931,0
2932,3
2933,1
2934,2
2935,0
2936,3
2937,0
2938,0
2939,3
2940,0
2941,1
2942,0
2943,1
2944,1
2945,0
2946,1
2947,1
2948,3
2949,1
2950,0
2951,2
2952,1
2953,2
2954,2
2955,0
2956,2
2957,0
2958,1
2959,1
2960,2
2961,1
2962,0
2963,0
2964,2
2965,1
2966,3
2967,2
2968,2
2969,0
2970,0
2971,3
2972,0
2973,1
2974,0
2975,0
2976,1
2977,2
2978,1
2979,1
2980,0
2981,3
2982,1
2983,1
2984,2
2985,0
2986,1
2987,1
2988,2
2989,3
2990,3
2991,1
2992,1
2993,2
2994,3
2995,1
2996,2
2997,1
