home_ownership,income,dti,fico_low,loan_status
0,50,20.55,685,0
1,90,12.37,710,0
1,46,20.04,660,0
1,70,24.38,690,0
1,54.324,28.85,685,0
1,52,8.86,670,0
0,44.8,24,675,0
1,55,19.53,660,0
1,120,19.81,665,0
1,104,10.27,765,0
0,34,28.59,660,0
1,16.584,20.69,695,0
1,60,24.88,670,0
0,33.28,29.19,675,0
0,36,6.9,690,0
0,84,13.9,695,0
1,43,30.14,695,0
1,60,13.94,690,0
1,100,36.16,675,0
1,49,26.52,715,0
0,36.932,29.31,670,0
1,65,28.05,705,0
1,35,11.47,720,0
0,101.9,8.44,670,0
0,28,15.22,715,0
0,70,25.24,700,0
1,200,7.6,695,0
1,130,10.9,690,0
1,85,20.6,740,0
0,22.82292,21.73,710,0
1,90,15.51,695,0
1,55,34.21,715,0
0,56,14.27,690,0
0,150,12.56,680,0
0,70,20.66,665,0
1,45,14.53,670,0
1,52,18.84,710,0
0,70,24.77,660,0
1,63,18.75,675,0
1,160,7.22,680,0
1,80,17.7,675,0
0,70,11.38,695,0
1,90,24.19,670,0
1,42,38.66,675,0
0,65,28.38,665,0
1,36,36.2,660,0
1,36,38.03,675,0
1,47,18.64,685,0
0,80,26.78,660,0
0,80,29.62,675,0
0,55,20.75,675,0
0,28.5,16.67,675,0
1,120,19.76,745,0
0,38.937,9.68,660,0
1,60,24.88,665,0
0,38,17.12,685,0
1,132,30.98,660,0
1,130,26.9,685,0
0,40,14.07,665,0
1,80,5.24,660,0
1,57,21.8,660,0
1,55,29.87,665,0
1,54,17.11,665,0
1,56,10.99,725,0
0,105,10.62,670,0
1,62,9.72,675,0
1,50,15.46,665,0
1,108,27.43,685,0
1,150,24.03,670,0
1,33,29.34,670,0
0,42,16.86,660,0
1,70,21.52,665,0
1,45,11.22,665,0
1,70.7028,14.43,705,0
1,60,19.46,685,0
0,55,18.35,680,0
1,55,32.05,665,0
1,140,19.86,660,0
1,128.973,20,730,0
0,48.4,22.29,680,0
1,63,16.66,660,0
1,32.5,4.87,680,0
1,10.4,15.01,735,0
0,54.044,9.26,700,0
1,62,27.02,695,0
1,79,21.05,740,0
1,35,14.75,695,0
1,36,27.9,660,0
1,65,28.27,660,0
1,84,6.7,675,0
1,70,18.96,680,0
1,114,25.17,690,0
0,102,11.35,725,0
1,76,13.56,680,0
0,64,27.47,670,0
1,45.02,28.77,695,0
0,55,23.72,690,0
0,45,25.44,670,0
0,60,15.62,680,0
1,84.899,26.79,695,0
1,47,33.96,665,0
1,57,30.72,660,0
0,48,24.45,690,0
0,65,15.21,665,0
0,26.4,24,685,0
1,40,14.43,670,0
1,34.56,16.15,670,0
1,78,25.54,660,0
1,64,17.23,720,0
1,110,20.93,700,0
1,20,36.25,665,0
0,85,15.78,705,0
1,105,30.87,680,0
1,52,33.6,695,0
0,80,33.09,665,0
0,75,23.65,660,0
1,40,28.62,690,0
0,26,23.58,675,0
0,40.4,28.79,715,0
1,78,6.28,720,0
1,89,19.42,675,0
1,130,13.98,710,0
1,85,31.15,670,0
1,202,4.32,660,0
1,45,30.61,700,0
0,86,18.28,665,0
0,36,4.73,660,0
1,82,20.23,665,0
1,60,36.12,680,0
0,110,7.2,680,0
0,25,6.77,660,0
0,27.84,29.57,670,0
1,125,25.54,755,0
0,40,31.77,675,0
1,109,9.47,660,0
1,30,27.8,685,0
1,65,22.51,710,0
0,67,29.86,675,0
1,180,11.01,660,0
0,45,34,725,0
1,51.892,34.02,660,0
1,80,14.93,665,0
1,65,9.19,660,0
0,75,13.58,695,0
0,75,6.99,675,0
1,85.6,24.98,675,0
0,300,8.6,715,0
1,45.865,5.97,735,0
0,38.4,26,720,0
0,30,9.04,675,0
0,36,27.1,675,0
1,90,22.09,670,0
0,53.5,4.87,685,0
1,37,18.46,735,0
1,36,25.83,690,0
1,20,10.14,660,0
0,20,22.93,680,0
1,26,19.94,660,0
1,100,32.1,675,0
0,48,13.37,700,0
1,50,15.96,700,0
1,60,26.22,700,0
1,61,20.62,660,0
1,85,29.07,665,0
1,60,24.5,695,0
1,85,18.06,795,0
0,85,21.83,680,0
1,95,27.27,670,0
0,73.4,13.55,680,0
1,77,19.51,670,0
0,32,15.94,670,0
0,42,10.43,660,0
1,45.7,22.3,660,0
1,101,16.2,660,0
1,150,16.37,715,0
1,57,28.53,695,0
1,80,18.54,665,0
0,84.4,17.36,675,0
1,55,32.75,680,0
0,26,17.5,670,0
1,300,16.29,710,0
0,38,29.82,675,0
0,35,22.63,695,0
1,62,14.35,695,0
1,34.15,15.04,685,0
0,90,13.52,695,0
1,47,27.04,695,0
1,75,28.67,720,0
0,70,15.79,675,0
1,59.4,21.23,710,0
0,36.5,10.39,670,0
0,39,13.11,680,0
1,60,28.13,710,0
0,45,22.67,715,0
1,52,17.17,755,0
0,57,25.16,690,0
1,52,25.62,695,0
1,98,21.38,680,0
0,33,30.36,675,0
0,27,29.82,665,0
1,104,9.53,690,0
0,40,14.88,665,0
0,110,24.42,680,0
0,65,20.14,705,0
1,45,33.41,710,0
1,85,1.76,790,0
1,65,15.62,715,0
1,35,27.81,710,0
0,34,7.48,660,0
1,198,8.23,700,0
1,87,26.59,700,0
0,125,9.84,665,0
1,60,6.62,690,0
1,43,9.49,765,0
0,25,27.41,710,0
1,24,28.7,695,0
0,135,19.72,670,0
0,41,25.38,690,0
0,48,24.3,675,0
0,27.8,26.03,660,0
1,140,11.03,705,0
1,38,26.75,660,0
0,55,16.32,695,0
1,157,10.16,735,0
1,205,9.59,665,0
0,34,15.71,690,0
1,125,10.92,705,0
0,78,27.22,750,0
1,45,29.89,675,0
0,68.4,18.68,685,0
0,120,20.71,670,0
0,38,15.79,690,0
0,120,13.27,675,0
1,55.26912,36.48,695,0
0,61.4,16.97,705,0
1,90,22.82,665,0
0,55,12.74,715,0
0,75,28.74,665,0
1,55,18.94,675,0
0,43,8.48,680,0
1,52,37.32,680,0
1,100,19.33,660,0
1,35,12,685,0
1,50,15.53,720,0
1,50,32.54,670,0
1,38,28.4,690,0
1,82.52622,21.94,670,0
0,26,29.27,660,0
1,50,34.59,690,0
0,80,32.93,670,0
0,40,16.35,670,0
1,70,29.73,700,0
0,46.5,16.59,785,0
0,43,23.94,695,0
0,106,20.29,680,0
1,37.38,17.28,660,0
1,106.7,19.65,690,0
0,50,29.98,660,0
1,45,25.63,675,0
0,44,15.3,690,0
1,48,25.23,670,0
0,54.42697,24.59,665,0
1,68,38.19,665,0
0,60,25.56,690,0
0,99,6.69,720,0
1,130,22.15,665,0
0,23,32.46,670,0
0,65,33,670,0
1,110,27,690,0
0,26,35.6,670,0
0,18,28.73,695,0
0,150,4.34,705,0
1,60,22.58,675,0
1,50,5.16,745,0
0,62,15.39,670,0
1,120,28.79,720,0
1,50,28.66,685,0
1,40,17.01,675,0
0,75,3.87,705,0
0,27,24.58,675,0
0,62,20.94,665,0
0,120,1.13,765,0
0,75,29.73,675,0
0,48,25.1,665,0
1,68,22.08,660,0
0,45,17.97,680,0
1,100,21.54,725,0
1,73.21,27.72,740,0
0,70,23.49,665,0
0,50.82,27.67,670,0
1,65,23.25,680,0
0,68,18.74,665,0
0,83,9.57,660,0
1,230,28.59,665,0
0,38,20.56,665,0
1,48,18.03,695,0
1,51.12,6.17,660,0
1,75,29.76,670,0
0,54,13.93,730,0
0,36,22.1,665,0
0,80,9.27,680,0
1,110,21.15,680,0
1,250,9.13,670,0
0,40,25.86,660,0
0,52,20.03,660,0
1,62,4.68,680,0
0,31,26.75,660,0
1,77.12887,29,705,0
0,101,11.02,665,0
1,45,28.53,705,0
1,82,16.07,690,0
1,75,35.25,675,0
0,82,10.97,700,0
0,9.36,24.36,665,0
0,86,18.56,730,0
1,45,6.72,690,0
1,38,37.27,705,0
0,49,23.31,660,0
1,110,27.09,670,0
1,73,20.66,735,0
0,120,33,660,0
1,97,25.43,670,0
0,72,17.32,660,0
0,41.6,22.52,665,0
1,55,28.78,660,0
1,111,16.22,690,0
0,42,17.37,675,0
0,36.589,29.22,670,0
1,137.2,25.26,665,0
1,32.8,35.38,665,0
1,70,26.04,660,0
1,100,20.68,675,0
1,50,15.75,705,0
1,86,14.9,690,0
0,47,19.88,770,0
1,50,17.4,760,0
0,55,25.88,670,0
0,32.567,22.19,660,0
1,110,23.26,680,0
1,100,17.14,700,0
1,68.567,18.81,700,0
1,35,21.47,695,0
0,90,21.81,665,0
1,60,34.58,690,0
0,74.4,29.7,690,0
1,64,33.19,670,0
1,50,11.83,700,0
1,65,27.84,675,0
1,78,5.89,680,0
0,41.2,32.36,660,0
1,102,9.07,710,0
0,72,18.37,670,0
1,80,25.46,685,0
0,38,12.52,685,0
1,95,37.28,685,0
0,42,29.54,675,0
1,62.832,29.51,680,0
1,90,23.44,670,0
1,60,26.12,660,0
0,105,12.22,695,0
1,90.85,26.88,755,0
1,215,15.51,710,0
1,26,20.73,660,0
0,29,34.19,680,0
0,70,16.66,750,0
1,60,18.82,700,0
0,30,22.36,660,0
1,66.713,11.48,695,0
0,35,32.06,670,0
0,95.5,17.09,685,0
1,65,33.75,700,0
1,88,18.45,665,0
1,68,15.3,660,0
1,37,19.36,695,0
1,110,30.9,665,0
0,22.15,20.22,665,0
1,56.52,20.4,685,0
0,152.004,16.92,730,0
0,45,32.67,665,0
0,50,20.66,695,0
0,62.5,22.19,720,0
1,25,20.69,700,0
0,51.75,24.3,670,0
0,34,16.38,680,0
1,70,30.58,675,0
1,25.5768,8.96,715,0
0,55,22.63,700,0
1,55,10.39,675,0
0,120,3.18,680,0
1,70,30.86,670,0
1,250,9.57,695,0
1,60,13.25,705,0
1,106.652,29.58,685,0
0,23,31.94,675,0
0,78,22.79,680,0
1,120,15.19,740,0
1,59,5.19,665,0
1,73,6.99,695,0
1,40,31.83,700,0
1,65,15.86,680,0
1,75,17.17,755,0
1,49.214,32.75,670,0
1,35,18.35,665,0
1,80,18.36,670,0
1,44,22.07,685,0
0,250,9.94,665,0
0,40.7,28.96,680,0
0,60,12.14,710,0
1,50,13.83,685,0
1,28.236,31.53,710,0
1,58,24.81,695,0
1,100,11.28,730,0
1,84.017,36.01,665,0
1,80,16.73,670,0
1,52.536,12.86,665,0
1,65,34.56,680,0
0,26.652,23.41,735,0
0,40,19.44,660,0
1,65,31.24,680,0
1,58.24,38.33,690,0
1,120,25.93,680,0
1,110,7.35,680,0
0,80,23.64,680,0
1,45,29.47,665,0
1,65,19.02,725,0
0,200,8.2,725,0
1,90.5,12.85,690,0
0,52,11.26,665,0
0,150,8.83,695,0
1,45,32.93,675,0
1,95,15.07,665,0
0,185,10.05,685,0
1,90,22.47,710,0
1,20.952,13.69,695,0
0,50,31.35,695,0
0,55,19.92,690,0
1,35.208,12.13,680,0
1,56.5,27.61,670,0
0,75.19,26.16,670,0
0,52,27.3,705,0
1,42,29.4,685,0
0,100,14.4,670,0
0,100,13.9,680,0
1,50,26.4,680,0
1,85,13.4,680,0
0,110,23.35,675,0
0,68.18144,29.34,700,0
1,42,6.06,695,0
1,106.839,21.54,740,0
0,62,6.23,720,0
1,75,19.6,700,0
0,125,6.29,670,0
0,37,9.67,665,0
1,62,34.96,670,0
0,50,21.65,685,0
0,34,24.71,690,0
0,48,20.08,680,0
1,25,18.87,680,0
0,56,6.56,695,0
0,75,27.62,685,0
0,27.78,12.61,710,0
0,42,11.57,670,0
0,40,8.49,675,0
1,58,9.6,665,0
0,80,11.04,685,0
1,125,10.77,665,0
1,87,14.3,705,0
0,25,23.67,700,0
0,95,19.99,675,0
0,58,29.22,680,0
0,62,16.49,665,0
0,38,25.36,700,0
0,79.5,24.98,665,0
1,70.084,24.26,680,0
0,40,27.54,695,0
1,60,24.64,665,0
1,133.736,24.29,695,0
1,46.02,30.4,665,0
1,80,21.62,670,0
0,79,19.44,660,0
1,34,35.83,660,0
0,40,13.38,665,0
1,100,24.08,685,0
1,86.7,34.1,705,0
1,39.19,1.56,695,0
1,120,8.62,665,0
0,65,14.68,670,0
1,28,12.47,660,0
1,60,18.68,705,0
0,30,11.75,670,0
0,40,26.64,700,0
0,70,19.96,660,0
0,65,9.69,675,0
1,75,19.01,665,0
0,98,24.92,680,0
0,105.97621,9.73,705,0
0,60,26.18,705,0
0,35.787,16.1,665,0
1,50,14.5,690,0
1,44,30.47,705,0
1,148,20.77,700,0
0,50,13.99,670,0
0,65,15.5,675,0
1,60,33.2,740,0
0,33,26.74,660,0
1,65,27.23,685,0
1,135,9.64,710,0
0,63,16.77,690,0
0,85,13.4,705,0
1,62,15.76,670,0
0,82,21.82,740,0
1,56,27.97,675,0
1,45,22.91,685,0
1,60,23.24,700,0
0,18.3,34.93,690,0
1,47.72,28.8,665,0
0,48,30.88,700,0
0,41,27.66,660,0
0,43,16.02,680,0
1,125,17.17,660,0
1,60,24.22,765,0
0,39,19.57,660,0
1,65.847,5.01,665,0
0,40,33.36,670,0
0,27,18.36,680,0
0,152.8,12.36,695,0
1,227,17.77,665,0
0,40,26.28,680,0
1,160,9.55,670,0
1,70,20.28,715,0
1,110,12.78,685,0
0,36,13.03,725,0
0,50,15.12,695,0
1,23,2.61,710,0
1,51,36.64,660,0
1,356,3.98,700,0
1,68,31.49,685,0
0,125,9.93,660,0
0,190,15.71,690,0
1,107,11.96,685,0
1,75.45813,10.45,705,0
1,94,31.55,675,0
1,88,10.1,665,0
1,414,19.8,720,0
1,28,28.46,660,0
1,64,3.73,670,0
1,32,22.43,680,0
0,52,25.25,685,0
0,40.92,29.56,680,0
0,60,12.06,670,0
0,35,29.8,680,0
0,68,17.58,725,0
1,70,26.63,730,0
0,36,31.3,710,0
0,21,25.54,680,0
1,50,27.22,665,0
1,55,32.4,665,0
1,26,29.32,665,0
0,90,33.84,690,0
0,120,18.28,670,0
1,34.444,25.47,665,0
1,49,22.31,670,0
0,33,11.42,675,0
1,85,26.74,695,0
0,75,28.48,685,0
1,80,19.98,670,0
1,27.9,17.16,715,0
0,109,10.72,695,0
0,46.91184,33.96,680,0
0,50,31.93,660,0
0,38.442,29.82,690,0
1,25,33.8,675,0
0,34,26.16,670,0
1,72,25.92,670,0
1,90,24.55,660,0
0,69,14.99,740,0
1,32.122,31.24,660,0
1,59,27.97,675,0
1,115,28.48,695,0
0,80,25.2,710,0
0,75,11.44,680,0
0,75,12.51,680,0
1,45.6,35.47,700,0
1,28,24.82,665,0
1,40,16.68,665,0
1,45,15.33,720,0
0,75,18.22,660,0
1,78,7.79,690,0
1,97,6.83,670,0
0,45,9.01,675,0
0,80,34.54,670,0
1,200,14.18,680,0
1,91,20.59,695,0
0,52,27.64,690,0
1,55,32.27,670,0
0,104.5,7.75,665,0
0,78,22.98,670,0
0,48,34,665,0
0,42,10.54,695,0
1,150,19.63,690,0
1,120,7.27,740,0
1,83.0672,19.98,715,0
0,19.881,12.98,660,0
0,42,24.09,670,0
1,65,11.93,660,0
1,37.25,18.1,750,0
0,35,14.95,660,0
0,22.7,18.88,685,0
1,75,20.05,660,0
1,56,32.21,660,0
1,80,29.04,675,0
1,58,11.86,695,0
0,47,27.14,690,0
1,108,26.08,670,0
1,86.274,20.27,680,0
1,85,11.34,750,0
1,80,12.57,660,0
1,60,19.48,665,0
1,50,21,680,0
1,172,10.62,670,0
1,42.6,14.66,705,0
1,35,8.64,685,0
1,65,33.05,660,0
0,30,34.16,680,0
0,71,20.47,665,0
1,50,18.6,670,0
0,27.456,21.9,675,0
1,59,24.98,660,0
1,100,18.14,710,0
0,95,15.88,685,0
0,44,26.19,675,0
0,42,23.6,660,0
1,60,19.04,665,0
1,42.5,25.33,675,0
1,33.6,16.82,735,0
0,45,14.8,675,0
1,64,29.86,695,0
0,88,10.58,690,0
1,32,32.3,665,0
0,65,23.91,665,0
1,70,13.89,740,0
1,100,25.57,745,0
0,100,23.88,685,0
0,125,29.09,695,0
1,80,14.19,690,0
1,71.5,8.77,705,0
1,70,8.62,705,0
0,35,14.06,675,0
0,150,10.12,660,0
0,47,14.02,705,0
1,129,19.51,705,0
1,55,25.4,765,0
1,65,18.13,660,0
1,50,23.52,695,0
1,38,33.8,670,0
0,71.9,32.62,690,0
0,78,9.49,665,0
1,155.5,14.07,705,0
0,88.8,7.05,775,0
0,53.844,11.81,670,0
0,48,26.55,665,0
0,50,15.77,680,0
0,98,28.47,665,0
0,28,13.37,690,0
0,35,28.43,680,0
1,84,14.66,715,0
1,50,20.81,660,0
0,12.624,6.27,690,0
0,96,15.98,680,0
0,62,15.58,805,0
0,51,28.42,685,0
1,46.78944,30.49,765,0
1,35,18.18,685,0
0,80.5,13.55,665,0
0,55,25.2,660,0
1,74.8,23.18,685,0
1,20,3,710,0
1,125,19.36,670,0
0,31,31.74,745,0
1,63.55,29.2,680,0
0,62.31132,17.5,675,0
1,82,28.39,710,0
0,75,14.74,665,0
0,141.5,21.24,680,0
1,48,3.93,670,0
1,28,13.5,660,0
0,225,9.13,705,0
0,23,29.85,665,0
1,50,28.56,680,0
0,60,6.1,710,0
1,43,24.2,770,0
0,37,7.49,670,0
1,30,29.2,660,0
1,60,24.84,700,0
1,35.7,39.29,660,0
1,55,16.45,700,0
1,300,23.32,735,0
1,60,39.42,665,0
0,81,12.65,670,0
0,50,11.23,665,0
0,25,9.22,665,0
1,74.599,17.05,660,0
0,38,19.08,665,0
0,35,35.67,665,0
0,55,29.83,685,0
1,28.8,26.92,720,0
0,84,18.61,700,0
1,42,33.11,725,0
1,67.787,17.9,665,0
0,25.584,11.02,680,0
0,57,32.4,695,0
1,71,20,675,0
0,68,36.64,690,0
1,51,28.42,660,0
0,55,14.27,660,0
1,80,16.72,720,0
0,18,31.07,690,0
1,74,31.69,700,0
0,40,34.71,660,0
1,50,22.2,660,0
1,145,15.99,675,0
0,35,35.6,695,0
1,54,12.64,700,0
1,88,24.3,660,0
0,35.162,19.97,730,0
1,62,12.93,660,0
1,150,21.51,690,0
0,24,19.61,665,0
0,250,14.07,685,0
0,66.5,13.91,680,0
1,70,24.96,700,0
1,67,19.51,670,0
0,38,4.67,665,0
0,80,27.75,665,0
1,156.4,10.86,705,0
1,45,3.07,675,0
0,38,33.67,670,0
1,45,32.19,685,0
1,50,16.83,700,0
0,86,26.35,710,0
0,45,30.43,660,0
0,52,32.66,725,0
0,56.38935,17.58,670,0
0,40,20.07,715,0
1,29,27.56,680,0
0,46,29.4,660,0
1,83.895,19.6,740,0
1,63,9.94,725,0
0,29,20.36,660,0
1,69,22.73,690,0
0,69,14.52,670,0
1,24.5,17.53,705,0
0,90,9.23,685,0
1,22,8.29,680,0
1,191.2,28.37,690,0
0,90,9.67,680,0
1,98,20.66,690,0
0,106,12.2,745,0
0,69,18.23,670,0
1,30,20.84,670,0
0,45,13.87,685,0
1,75,15.78,660,0
1,28,6.13,670,0
0,45,8.77,660,0
0,34,24.85,705,0
1,83,24.99,675,0
1,76,33.14,680,0
0,36,18.93,690,0
0,57.2,38.25,665,0
0,52,38.86,710,0
1,80,8.34,695,0
1,58,16.76,685,0
1,45,21.41,680,0
0,65,17.73,675,0
0,62.5,9.31,745,0
0,48.012,22.14,690,0
1,35,25.89,765,0
0,78,17.2,770,0
1,39,27.05,695,0
0,47,17.39,680,0
0,22.5,20.16,760,0
1,68,34.54,660,0
0,312,2.5,700,0
1,67,20.22,660,0
0,43.246,17.04,680,0
1,72,27.82,660,0
0,35,18.21,740,0
1,100,16.54,660,0
0,55,19.41,670,0
1,60,17.9,715,0
1,30,21.92,660,0
1,85,14.36,660,0
0,48,33.83,715,0
1,80,24.72,735,0
1,75,33.1,695,0
1,50,29.81,685,0
0,60,9.72,680,0
1,99,21.88,770,0
1,115,18.81,685,0
1,90,20.88,700,0
1,40,17.97,700,0
1,45,18.32,675,0
0,51,31.65,695,0
0,17.96,37.43,670,0
1,46,11.17,695,0
1,67,12.45,675,0
0,104,23.5,690,0
0,35,13.27,675,0
0,62.62,28.23,705,0
1,150,14.69,690,0
1,89,18.18,660,0
1,201,25.71,700,0
0,90,11.76,670,0
0,62.4,13.04,705,0
1,21.6,39,680,0
0,35,18.96,670,0
1,90,17.81,675,0
0,109,6.03,665,0
0,30,15.44,675,0
0,35,15.74,680,0
0,66,21.6,680,0
1,60,26.34,690,0
0,300,18.45,720,0
1,25,36.34,675,0
0,250,15.65,660,0
0,89,30.35,665,0
0,60,19.03,700,0
1,95,18.33,720,0
1,60.92341,38.96,670,0
1,42,21.43,705,0
1,140,14.67,720,0
1,60,23.82,710,0
0,219,12.58,690,0
0,1128.255,2.45,720,0
1,55,11.65,685,0
1,103,20.18,660,0
0,26.4,17.34,665,0
0,45,26.61,660,0
1,56,25.98,705,0
0,25,26.87,665,0
1,94,17.92,670,0
0,270,5.37,710,0
1,59,20.95,660,0
0,78,5.62,745,0
1,150,12.46,675,0
0,35.256,28.42,685,0
0,110,19.17,710,0
0,44.5,10.17,715,0
1,70,22.46,695,0
0,46,12.98,670,0
1,52,11.65,710,0
0,54,21.87,670,0
0,86,16.86,690,0
0,25,28.66,685,0
1,85,24.96,670,0
0,82,43.77,660,0
0,31,30.39,665,0
1,70,27.05,670,0
0,56,26.17,700,0
1,57.14004,33.02,670,0
0,20,38.94,660,0
0,88,38.85,685,0
0,54,15.24,670,0
1,70,16.44,695,0
0,26,14.82,665,0
1,62,17,690,0
0,56,12.41,680,0
1,72,15.03,710,0
1,70,29.3,680,0
0,88.572,9.39,725,0
0,63.88,17.64,700,0
1,48,19.95,670,0
0,34,20.97,680,0
0,50,12.67,690,0
1,50,4.87,680,0
0,45,13.49,685,0
1,100,15.88,705,0
0,40,20.67,710,0
1,82.3,32.21,665,0
1,102.4,15.46,695,0
1,140,7.21,700,0
0,85,14.37,660,0
0,34,27.7,675,0
1,140,34.23,660,0
0,98,14.55,750,0
0,75,7.76,705,0
1,60,18.88,660,0
1,30,14,660,0
0,87,18.22,695,0
0,70,21.72,665,0
0,52,21,670,0
1,91,37.95,700,0
0,67.692,11.66,675,0
0,25,34.36,705,0
0,118,35.26,685,0
1,43,34.55,675,0
1,60.479,27.74,685,0
1,58,12.35,675,0
0,35.167,27.5,700,0
0,45,17.39,675,0
0,90,13.41,685,0
1,74,22.88,670,0
1,43,28.44,720,0
0,55.5,14.23,725,0
0,35,22.43,695,0
1,55,12.9,670,0
1,1000,1.96,730,0
1,84,21.76,720,0
1,54,9.95,670,0
0,25,20.93,725,0
0,53,25.84,660,0
1,52,19.98,750,0
0,52,24.12,675,0
0,71,21.33,670,0
0,46.5,12.22,675,0
0,70,15.86,665,0
1,47.17,18.78,670,0
1,38,24.76,675,0
1,57,18.76,675,0
0,30,17.56,685,0
0,90,25.53,710,0
1,250,15.25,715,0
1,53,16.46,660,0
0,180,4.91,685,0
1,47,28.58,675,0
1,26.31836,33.39,660,0
1,59.98296,32.16,680,0
0,45,13.68,690,0
0,30.5,34.75,670,0
0,66.1,26.92,665,0
1,111,5.89,705,0
1,53,35.42,675,0
1,100,19.44,680,0
1,40,5.82,665,0
1,44,37.53,690,0
1,44,28.37,690,0
1,50,31.4,695,0
0,59,25.2,680,0
0,138,19.52,680,0
1,60,31.18,670,0
0,28,15.9,695,0
1,45.656,20.48,660,0
1,56,11.79,660,0
0,50,5.33,725,0
1,130,19.1,705,0
1,95,21.74,710,0
1,29,32.24,715,0
0,32,24.42,675,0
0,42,36.6,665,0
1,70,21.29,690,0
0,27,14,720,0
1,178,12.59,685,0
1,37,29.91,680,0
0,40,27,660,0
1,59,22.56,695,0
0,42,27.3,660,0
1,72.635,19.68,660,0
0,70,12.84,695,0
1,56,28.83,660,0
0,67.5,12.16,755,1
1,111,28.06,690,1
0,45,27.15,670,1
1,60,6.62,680,1
1,109,21.96,665,1
1,48,8.93,670,1
0,52,16.71,715,1
0,55,19.77,785,1
1,185,30.19,660,1
1,92,34.57,705,1
1,83,13.95,665,1
1,65,17.69,715,1
1,50,4.92,665,1
0,45,26.84,670,1
0,70,17.86,685,1
1,80,17.21,720,1
0,45,37.79,695,1
1,50,18.94,775,1
1,70,23.06,700,1
1,71.57472,25.32,665,1
1,126,22.97,770,1
0,25,19.83,705,1
1,50,24.75,660,1
0,91.092,25,665,1
1,22,13.8,690,1
0,65,12.67,750,1
0,50,31.85,670,1
0,44.3,13.7,705,1
0,31.6,10.67,700,1
1,71,17.24,685,1
0,86,6.46,700,1
0,130,17.9,690,1
0,33,30.62,660,1
0,58,20.86,745,1
1,50,27.89,705,1
1,50,23.02,710,1
0,60,11,780,1
1,100,5.68,680,1
0,39,28.89,705,1
1,102,8.65,685,1
1,40,22.11,675,1
1,69,11.25,665,1
1,300,13.59,725,1
1,225,3.23,705,1
1,295,15.9,710,1
1,31.2,16.5,685,1
0,160,26.27,730,1
1,300,12.49,700,1
0,115,11.28,700,1
1,80,38.22,685,1
1,160,9.71,755,1
0,26,15.6,675,1
1,64,10.43,665,1
1,46.82882,27.81,660,1
1,67,7.02,725,1
1,150,18.74,700,1
0,33.739,26.57,700,1
1,110,23.81,725,1
0,36,7.23,670,1
0,41.5,23.59,685,1
0,65,11.23,710,1
0,80,30.75,695,1
1,58,6.08,660,1
1,328,18.81,725,1
1,42.856,10.03,680,1
0,97.5,10.11,660,1
1,65,31.22,720,1
1,85,16.17,665,1
0,60,15.46,665,1
0,40,9.78,670,1
1,49,16.73,675,1
0,47.184,28.79,690,1
1,128.88,9.33,705,1
0,45,15.97,680,1
