"","age","balance","campaign","contact","day","default","duration","education","housing","job","loan","marital","month","pdays","poutcome","previous","y"
"25",40,0,1,"unknown",5,"no",181,"primary","yes","retired","yes","married","may",-1,"unknown",0,"no"
"26",44,-372,1,"unknown",5,"no",172,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"27",39,255,1,"unknown",5,"no",296,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"28",52,113,1,"unknown",5,"no",127,"secondary","yes","entrepreneur","yes","married","may",-1,"unknown",0,"no"
"32",49,378,1,"unknown",5,"no",230,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"33",60,39,1,"unknown",5,"no",208,"secondary","yes","admin.","yes","married","may",-1,"unknown",0,"no"
"34",59,0,1,"unknown",5,"no",226,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"36",57,63,1,"unknown",5,"no",242,"secondary","yes","technician","no","divorced","may",-1,"unknown",0,"no"
"38",53,-3,1,"unknown",5,"no",1666,"secondary","no","technician","no","married","may",-1,"unknown",0,"no"
"41",44,2586,1,"unknown",5,"no",160,"secondary","yes","services","no","divorced","may",-1,"unknown",0,"no"
"42",50,49,2,"unknown",5,"no",180,"secondary","yes","management","no","married","may",-1,"unknown",0,"no"
"43",60,104,1,"unknown",5,"no",22,"unknown","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"44",54,529,1,"unknown",5,"no",1492,"secondary","yes","retired","no","married","may",-1,"unknown",0,"no"
"46",36,-171,1,"unknown",5,"no",242,"primary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"49",55,0,1,"unknown",5,"no",160,"secondary","no","technician","no","divorced","may",-1,"unknown",0,"no"
"50",29,0,1,"unknown",5,"no",363,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"51",54,1291,1,"unknown",5,"no",266,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"52",48,-244,1,"unknown",5,"no",253,"tertiary","yes","management","no","divorced","may",-1,"unknown",0,"no"
"53",32,0,1,"unknown",5,"no",179,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"54",42,-76,1,"unknown",5,"no",787,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"55",24,-103,1,"unknown",5,"no",145,"secondary","yes","technician","yes","single","may",-1,"unknown",0,"no"
"57",38,424,1,"unknown",5,"no",104,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"59",40,24,1,"unknown",5,"no",185,"unknown","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"60",46,179,1,"unknown",5,"no",1778,"primary","yes","services","no","married","may",-1,"unknown",0,"no"
"61",32,0,1,"unknown",5,"no",138,"tertiary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"65",49,154,1,"unknown",5,"no",357,"unknown","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"68",59,59,1,"unknown",5,"no",273,"tertiary","yes","management","no","divorced","may",-1,"unknown",0,"no"
"72",31,25,1,"unknown",5,"no",172,"secondary","yes","services","yes","married","may",-1,"unknown",0,"no"
"73",54,282,1,"unknown",5,"no",154,"secondary","yes","management","yes","married","may",-1,"unknown",0,"no"
"74",55,23,1,"unknown",5,"no",291,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"75",43,1937,1,"unknown",5,"no",181,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"77",44,582,1,"unknown",5,"no",211,"secondary","no","blue-collar","yes","married","may",-1,"unknown",0,"no"
"78",55,91,1,"unknown",5,"no",349,"secondary","no","services","no","divorced","may",-1,"unknown",0,"no"
"79",49,0,1,"unknown",5,"no",272,"secondary","yes","services","yes","divorced","may",-1,"unknown",0,"no"
"80",55,1,1,"unknown",5,"yes",208,"secondary","yes","services","no","divorced","may",-1,"unknown",0,"no"
"84",59,2343,1,"unknown",5,"no",1042,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"yes"
"86",51,173,2,"unknown",5,"no",529,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"87",56,45,1,"unknown",5,"no",1467,"secondary","no","admin.","no","married","may",-1,"unknown",0,"yes"
"88",41,1270,1,"unknown",5,"no",1389,"secondary","yes","technician","no","married","may",-1,"unknown",0,"yes"
"89",46,16,2,"unknown",5,"no",188,"secondary","yes","management","yes","divorced","may",-1,"unknown",0,"no"
"90",57,486,2,"unknown",5,"no",180,"secondary","yes","retired","no","married","may",-1,"unknown",0,"no"
"91",42,50,1,"unknown",5,"no",48,"secondary","no","management","no","single","may",-1,"unknown",0,"no"
"93",60,290,1,"unknown",5,"no",583,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"97",55,383,1,"unknown",5,"no",287,"secondary","no","blue-collar","no","married","may",-1,"unknown",0,"no"
"99",39,0,1,"unknown",5,"no",203,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"100",46,229,1,"unknown",5,"no",197,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"101",44,-674,1,"unknown",5,"no",257,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"103",52,128,1,"unknown",5,"no",229,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"105",27,0,1,"unknown",5,"no",400,"tertiary","yes","technician","no","single","may",-1,"unknown",0,"no"
"106",44,54,1,"unknown",5,"no",197,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"108",34,61,1,"unknown",5,"no",21,"secondary","no","admin.","yes","married","may",-1,"unknown",0,"no"
"109",59,30,1,"unknown",5,"no",514,"secondary","yes","retired","no","single","may",-1,"unknown",0,"no"
"111",29,31,1,"unknown",5,"no",194,"secondary","yes","services","no","divorced","may",-1,"unknown",0,"no"
"112",46,79,1,"unknown",5,"no",144,"secondary","no","technician","no","divorced","may",-1,"unknown",0,"no"
"113",56,-34,2,"unknown",5,"no",212,"primary","yes","self-employed","yes","married","may",-1,"unknown",0,"no"
"115",59,81,1,"unknown",5,"no",107,"primary","yes","retired","no","divorced","may",-1,"unknown",0,"no"
"116",44,144,2,"unknown",5,"no",247,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"119",59,262,1,"unknown",5,"no",178,"tertiary","no","management","no","divorced","may",-1,"unknown",0,"no"
"122",51,26,1,"unknown",5,"no",79,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"130",55,2476,1,"unknown",5,"no",579,"secondary","yes","services","no","married","may",-1,"unknown",0,"yes"
"132",32,217,1,"unknown",5,"no",345,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"133",38,1685,1,"unknown",5,"no",185,"secondary","yes","technician","no","single","may",-1,"unknown",0,"no"
"134",55,802,2,"unknown",5,"no",100,"secondary","yes","admin.","yes","single","may",-1,"unknown",0,"no"
"137",32,0,1,"unknown",5,"no",136,"secondary","yes","technician","no","single","may",-1,"unknown",0,"no"
"138",43,0,1,"unknown",5,"no",73,"unknown","no","services","no","single","may",-1,"unknown",0,"no"
"140",46,265,1,"unknown",5,"no",541,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"141",53,947,1,"unknown",5,"no",163,"primary","yes","housemaid","no","divorced","may",-1,"unknown",0,"no"
"147",56,8,2,"unknown",5,"no",157,"primary","yes","blue-collar","no","divorced","may",-1,"unknown",0,"no"
"148",48,293,1,"unknown",5,"no",243,"secondary","yes","unemployed","no","married","may",-1,"unknown",0,"no"
"149",43,3,2,"unknown",5,"no",186,"primary","yes","services","no","married","may",-1,"unknown",0,"no"
"151",51,-19,2,"unknown",5,"no",163,"unknown","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"152",26,0,2,"unknown",5,"no",610,"secondary","yes","student","no","single","may",-1,"unknown",0,"no"
"153",40,-4,1,"unknown",5,"no",2033,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"156",41,0,2,"unknown",5,"no",114,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"160",48,904,2,"unknown",5,"no",128,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"161",48,1705,1,"unknown",5,"no",107,"unknown","yes","services","no","married","may",-1,"unknown",0,"no"
"163",47,176,2,"unknown",5,"no",303,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"164",40,1225,5,"unknown",5,"no",558,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"166",26,82,1,"unknown",5,"no",228,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"167",52,271,1,"unknown",5,"no",99,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"170",50,0,3,"unknown",5,"no",233,"primary","no","blue-collar","no","married","may",-1,"unknown",0,"no"
"171",35,0,1,"unknown",5,"no",1056,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"173",53,19,1,"unknown",5,"no",252,"unknown","yes","entrepreneur","no","married","may",-1,"unknown",0,"no"
"174",35,434,1,"unknown",5,"no",138,"primary","no","retired","no","single","may",-1,"unknown",0,"no"
"177",48,41,2,"unknown",5,"no",179,"secondary","yes","unemployed","no","married","may",-1,"unknown",0,"no"
"178",34,51,2,"unknown",5,"no",19,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"179",54,214,2,"unknown",5,"no",458,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"183",35,59,1,"unknown",5,"no",1077,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"184",38,253,1,"unknown",5,"no",416,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"185",36,211,2,"unknown",5,"no",146,"tertiary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"187",40,4384,1,"unknown",5,"no",315,"unknown","yes","services","no","divorced","may",-1,"unknown",0,"no"
"189",34,53,1,"unknown",5,"no",346,"secondary","yes","blue-collar","yes","single","may",-1,"unknown",0,"no"
"191",51,2127,1,"unknown",5,"no",172,"secondary","yes","retired","no","married","may",-1,"unknown",0,"no"
"192",33,377,1,"unknown",5,"no",217,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"193",55,73,2,"unknown",5,"no",142,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"195",34,243,1,"unknown",5,"no",291,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"197",38,155,1,"unknown",5,"no",248,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"198",50,173,1,"unknown",5,"no",98,"tertiary","no","technician","yes","divorced","may",-1,"unknown",0,"no"
"201",47,219,1,"unknown",5,"no",577,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"205",35,0,1,"unknown",5,"no",471,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"209",39,257,1,"unknown",5,"no",408,"unknown","yes","services","no","single","may",-1,"unknown",0,"no"
"211",38,-390,1,"unknown",5,"no",287,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"212",53,330,2,"unknown",5,"no",216,"secondary","yes","retired","no","married","may",-1,"unknown",0,"no"
"213",59,195,2,"unknown",5,"no",366,"primary","no","housemaid","no","divorced","may",-1,"unknown",0,"no"
"214",36,301,1,"unknown",5,"no",210,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"215",54,-41,1,"unknown",5,"no",288,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"216",40,483,1,"unknown",5,"no",168,"tertiary","yes","technician","no","married","may",-1,"unknown",0,"no"
"217",47,28,2,"unknown",5,"no",338,"unknown","no","unknown","no","married","may",-1,"unknown",0,"no"
"219",46,965,1,"unknown",5,"no",177,"primary","no","housemaid","no","married","may",-1,"unknown",0,"no"
"220",39,378,2,"unknown",5,"no",127,"tertiary","yes","management","yes","married","may",-1,"unknown",0,"no"
"221",40,219,1,"unknown",5,"no",357,"secondary","yes","unemployed","no","married","may",-1,"unknown",0,"no"
"222",28,324,1,"unknown",5,"no",175,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"225",43,205,1,"unknown",5,"no",1419,"unknown","yes","technician","no","divorced","may",-1,"unknown",0,"no"
"226",48,278,2,"unknown",5,"no",125,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"228",33,34,1,"unknown",5,"no",27,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"229",36,1033,2,"unknown",5,"no",238,"unknown","no","blue-collar","no","married","may",-1,"unknown",0,"no"
"230",53,1467,1,"unknown",5,"no",124,"secondary","yes","services","no","divorced","may",-1,"unknown",0,"no"
"231",47,-12,1,"unknown",5,"no",18,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"232",31,388,2,"unknown",5,"no",730,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"235",55,627,1,"unknown",5,"no",247,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"236",45,25,1,"unknown",5,"no",40,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"238",37,0,1,"unknown",5,"no",79,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"240",49,-9,1,"unknown",5,"no",389,"primary","yes","blue-collar","yes","divorced","may",-1,"unknown",0,"no"
"242",43,100,1,"unknown",5,"no",702,"unknown","yes","entrepreneur","no","married","may",-1,"unknown",0,"no"
"243",38,0,1,"unknown",5,"no",151,"secondary","no","admin.","no","married","may",-1,"unknown",0,"no"
"245",49,3237,3,"unknown",5,"no",232,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"246",42,275,2,"unknown",5,"no",408,"unknown","no","management","no","married","may",-1,"unknown",0,"no"
"247",22,0,2,"unknown",5,"no",179,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"249",39,483,1,"unknown",5,"no",282,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"250",51,2248,2,"unknown",5,"no",714,"secondary","yes","services","no","married","may",-1,"unknown",0,"no"
"253",34,0,1,"unknown",5,"no",142,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"255",50,297,1,"unknown",5,"no",119,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"257",59,901,3,"unknown",5,"no",73,"secondary","yes","entrepreneur","no","divorced","may",-1,"unknown",0,"no"
"258",30,2573,2,"unknown",5,"no",67,"secondary","yes","technician","no","single","may",-1,"unknown",0,"no"
"260",40,475,2,"unknown",5,"no",332,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"262",34,318,2,"unknown",5,"no",113,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"263",37,275,1,"unknown",5,"no",132,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"265",41,236,1,"unknown",5,"no",151,"primary","yes","entrepreneur","no","married","may",-1,"unknown",0,"no"
"266",30,25,2,"unknown",5,"no",89,"tertiary","yes","student","no","single","may",-1,"unknown",0,"no"
"267",37,600,1,"unknown",5,"no",152,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"268",39,-349,2,"unknown",5,"no",611,"secondary","yes","admin.","no","divorced","may",-1,"unknown",0,"no"
"269",41,183,2,"unknown",5,"no",110,"primary","yes","blue-collar","yes","married","may",-1,"unknown",0,"no"
"272",40,0,1,"unknown",5,"no",962,"primary","yes","blue-collar","no","divorced","may",-1,"unknown",0,"no"
"273",57,1078,4,"unknown",5,"no",10,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"274",56,155,3,"unknown",5,"no",118,"secondary","no","entrepreneur","no","divorced","may",-1,"unknown",0,"no"
"276",59,319,3,"unknown",5,"no",143,"secondary","yes","retired","no","married","may",-1,"unknown",0,"no"
"277",39,-185,3,"unknown",5,"no",189,"secondary","yes","services","no","divorced","may",-1,"unknown",0,"no"
"282",41,-62,2,"unknown",5,"no",55,"secondary","yes","admin.","yes","married","may",-1,"unknown",0,"no"
"283",54,258,4,"unknown",5,"no",310,"tertiary","no","technician","no","married","may",-1,"unknown",0,"no"
"284",58,76,2,"unknown",5,"no",156,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"285",30,0,2,"unknown",5,"no",5,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"286",33,352,2,"unknown",5,"no",225,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"290",40,672,2,"unknown",5,"no",164,"secondary","yes","self-employed","no","married","may",-1,"unknown",0,"no"
"293",24,423,3,"unknown",5,"no",226,"secondary","yes","student","no","single","may",-1,"unknown",0,"no"
"296",56,13,2,"unknown",5,"no",357,"primary","yes","technician","no","divorced","may",-1,"unknown",0,"no"
"299",42,28,3,"unknown",5,"no",126,"primary","yes","blue-collar","no","divorced","may",-1,"unknown",0,"no"
"300",57,792,2,"unknown",5,"no",65,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"304",36,62,2,"unknown",5,"no",215,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"305",53,257,2,"unknown",5,"no",209,"unknown","yes","services","no","married","may",-1,"unknown",0,"no"
"306",50,1234,2,"unknown",5,"no",205,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"308",55,89,3,"unknown",5,"no",106,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"309",44,129,2,"unknown",5,"no",189,"secondary","yes","blue-collar","yes","married","may",-1,"unknown",0,"no"
"314",37,398,2,"unknown",5,"no",214,"secondary","yes","services","yes","divorced","may",-1,"unknown",0,"no"
"315",33,193,2,"unknown",5,"no",132,"tertiary","no","admin.","no","single","may",-1,"unknown",0,"no"
"318",51,0,2,"unknown",5,"no",364,"secondary","yes","technician","no","single","may",-1,"unknown",0,"no"
"319",40,0,2,"unknown",5,"no",136,"primary","no","retired","no","single","may",-1,"unknown",0,"no"
"320",42,490,2,"unknown",5,"no",386,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"321",51,0,2,"unknown",5,"no",173,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"322",49,403,2,"unknown",5,"no",241,"unknown","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"323",48,161,3,"unknown",5,"no",224,"secondary","yes","management","no","married","may",-1,"unknown",0,"no"
"324",32,2558,2,"unknown",5,"no",148,"tertiary","no","technician","no","divorced","may",-1,"unknown",0,"no"
"325",31,98,2,"unknown",5,"no",196,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"326",55,115,4,"unknown",5,"no",111,"tertiary","no","management","no","single","may",-1,"unknown",0,"no"
"327",40,436,3,"unknown",5,"no",231,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"329",57,206,3,"unknown",5,"no",216,"unknown","yes","technician","no","married","may",-1,"unknown",0,"no"
"330",41,290,2,"unknown",5,"no",240,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"334",58,1387,5,"unknown",5,"no",174,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"336",49,30,4,"unknown",5,"no",135,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"338",53,56,2,"unknown",5,"no",152,"secondary","yes","technician","yes","married","may",-1,"unknown",0,"no"
"340",32,121,2,"unknown",5,"no",213,"secondary","yes","services","no","single","may",-1,"unknown",0,"no"
"343",40,-333,2,"unknown",5,"no",183,"secondary","yes","blue-collar","no","divorced","may",-1,"unknown",0,"no"
"344",50,1533,2,"unknown",5,"no",325,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"345",34,46,4,"unknown",5,"no",39,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"346",53,18,2,"unknown",5,"no",503,"unknown","no","services","no","married","may",-1,"unknown",0,"no"
"350",55,685,3,"unknown",5,"no",174,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"351",46,187,2,"unknown",5,"no",113,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"352",45,66,2,"unknown",5,"no",808,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"354",36,0,2,"unknown",5,"no",195,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"357",44,34,4,"unknown",5,"no",404,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"359",40,211,4,"unknown",5,"no",216,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"361",48,263,2,"unknown",5,"no",350,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"364",48,126,2,"unknown",6,"no",379,"secondary","yes","admin.","yes","married","may",-1,"unknown",0,"no"
"365",59,230,3,"unknown",6,"no",190,"secondary","yes","admin.","no","married","may",-1,"unknown",0,"no"
"366",46,841,1,"unknown",6,"no",158,"tertiary","yes","technician","no","married","may",-1,"unknown",0,"no"
"367",38,308,1,"unknown",6,"no",102,"secondary","yes","admin.","no","divorced","may",-1,"unknown",0,"no"
"369",38,86,1,"unknown",6,"no",218,"tertiary","yes","admin.","no","divorced","may",-1,"unknown",0,"no"
"372",38,46,1,"unknown",6,"no",195,"secondary","yes","admin.","yes","married","may",-1,"unknown",0,"no"
"373",37,1293,1,"unknown",6,"no",652,"secondary","no","blue-collar","no","married","may",-1,"unknown",0,"no"
"374",25,122,1,"unknown",6,"no",286,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"375",48,131,1,"unknown",6,"no",189,"unknown","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"376",49,143,1,"unknown",6,"no",83,"secondary","yes","blue-collar","no","single","may",-1,"unknown",0,"no"
"378",43,98,1,"unknown",6,"no",235,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"382",49,245,1,"unknown",6,"no",318,"secondary","yes","services","yes","married","may",-1,"unknown",0,"no"
"383",40,8486,3,"unknown",6,"no",260,"secondary","no","management","no","married","may",-1,"unknown",0,"no"
"385",38,20,1,"unknown",6,"no",402,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"388",32,10,4,"unknown",6,"no",501,"secondary","yes","unemployed","no","married","may",-1,"unknown",0,"no"
"391",60,545,1,"unknown",6,"no",1030,"secondary","yes","retired","no","divorced","may",-1,"unknown",0,"yes"
"393",46,477,1,"unknown",6,"no",114,"tertiary","yes","technician","no","divorced","may",-1,"unknown",0,"no"
"396",32,0,3,"unknown",6,"no",135,"secondary","yes","technician","yes","single","may",-1,"unknown",0,"no"
"397",40,263,1,"unknown",6,"no",231,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"399",34,283,1,"unknown",6,"no",199,"secondary","no","blue-collar","yes","married","may",-1,"unknown",0,"no"
"400",47,206,1,"unknown",6,"no",152,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"401",42,17,1,"unknown",6,"no",124,"primary","yes","housemaid","no","married","may",-1,"unknown",0,"no"
"402",48,141,1,"unknown",6,"no",424,"secondary","yes","technician","yes","married","may",-1,"unknown",0,"no"
"405",52,7,2,"unknown",6,"no",203,"unknown","no","technician","no","married","may",-1,"unknown",0,"no"
"406",50,0,1,"unknown",6,"no",326,"tertiary","no","management","no","married","may",-1,"unknown",0,"no"
"407",58,0,1,"unknown",6,"no",393,"tertiary","no","retired","no","married","may",-1,"unknown",0,"no"
"409",38,284,1,"unknown",6,"no",483,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"412",51,230,1,"unknown",6,"no",673,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"413",39,-25,1,"unknown",6,"no",576,"secondary","yes","admin.","no","single","may",-1,"unknown",0,"no"
"417",40,77,1,"unknown",6,"no",505,"secondary","no","technician","no","married","may",-1,"unknown",0,"no"
"419",52,55,1,"unknown",6,"no",186,"primary","yes","blue-collar","yes","divorced","may",-1,"unknown",0,"no"
"420",33,72,1,"unknown",6,"yes",623,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"421",49,163,3,"unknown",6,"no",496,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"422",32,151,1,"unknown",6,"no",118,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"425",38,9,3,"unknown",6,"no",185,"tertiary","yes","technician","no","single","may",-1,"unknown",0,"no"
"426",43,375,2,"unknown",6,"no",196,"secondary","yes","management","no","married","may",-1,"unknown",0,"no"
"428",54,2102,1,"unknown",6,"no",76,"primary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"429",38,4325,1,"unknown",6,"no",87,"tertiary","yes","technician","no","single","may",-1,"unknown",0,"no"
"430",40,217,1,"unknown",6,"no",195,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"432",42,1680,1,"unknown",6,"no",765,"tertiary","yes","management","no","married","may",-1,"unknown",0,"no"
"433",39,0,1,"unknown",6,"no",262,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"437",45,39,1,"unknown",6,"no",241,"secondary","no","blue-collar","no","married","may",-1,"unknown",0,"no"
"438",35,560,1,"unknown",6,"no",181,"tertiary","yes","management","no","single","may",-1,"unknown",0,"no"
"441",49,61,1,"unknown",6,"no",246,"primary","yes","services","no","married","may",-1,"unknown",0,"no"
"443",36,139,2,"unknown",6,"no",309,"secondary","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
"444",24,0,1,"unknown",6,"no",278,"secondary","yes","self-employed","no","single","may",-1,"unknown",0,"no"
"445",34,367,1,"unknown",6,"no",140,"secondary","yes","technician","no","married","may",-1,"unknown",0,"no"
"446",51,228,1,"unknown",6,"no",136,"secondary","yes","admin.","no","divorced","may",-1,"unknown",0,"no"
"447",39,45248,1,"unknown",6,"no",1623,"unknown","yes","technician","no","single","may",-1,"unknown",0,"yes"
"448",50,-84,1,"unknown",6,"no",101,"unknown","yes","self-employed","no","married","may",-1,"unknown",0,"no"
"450",42,132,1,"unknown",6,"no",238,"unknown","yes","blue-collar","no","married","may",-1,"unknown",0,"no"
