,loan_amnt,funded_amnt,ret_OPT,grade,default,int_rate,annual_inc,dti,term,revol_bal,revol_util,inq_last_6mths,pct_tl_nvr_dlq,cr_hist,outcome,,,,
73,12000,12000,0.037708575,A,0,7.12,126000,13.23, 36 months,13009,74.3,0,92.6,130.9924228,FALSE,,,,
74,16000,16000,0.048569437,A,0,8.19,97000,29.1, 60 months,21087,52.2,0,90,251.9969609,FALSE,,,,
75,21000,21000,-0.033312698,B,1,11.99,55600,35.07, 36 months,23968,52.7,0,100,290.0100618,TRUE,,,,
76,18825,18825,0.090975189,C,0,14.49,45000,29.23, 36 months,22921,67.2,0,100,200.9733259,FALSE,,,,
77,17900,17900,0.080920432,C,0,14.31,56000,27.03, 60 months,19633,49.3,0,100,146.0071049,FALSE,,,,
78,25000,25000,0.107032544,D,0,17.86,80000,16.5, 60 months,22640,66.4,0,100,176.003614,FALSE,,,,
79,25000,25000,0.115497948,B,0,11.99,110244,26.32, 36 months,17110,51.2,1,100,120.9716832,FALSE,,,,
80,14400,14400,-0.201551157,B,1,9.17,41000,12.45, 36 months,10585,56,0,96.3,148.0112528,TRUE,,,,
81,18000,18000,-0.066577333,C,1,12.99,73000,23.52, 60 months,10082,22.1,2,97.7,157.9991376,TRUE,,,,
82,10000,10000,0.048980382,A,0,7.12,48000,29.15, 36 months,10934,28.3,0,100,279.0365305,FALSE,,,,
83,15000,15000,0.107088879,C,0,13.98,45000,19.71, 60 months,9530,52.2,0,93.3,157.9991376,FALSE,,,,
84,10000,10000,-0.182652667,F,1,23.99,44000,34.75, 36 months,15358,83,0,95.5,74.97484548,TRUE,,,,
85,12000,12000,-0.006798333,C,1,14.99,37000,18.13, 36 months,6845,76.1,0,97.9,156.9806362,TRUE,,,,
86,18500,18500,0.066156483,B,0,11.44,47400,18.13, 60 months,15978,61.7,0,85,228.0128955,FALSE,,,,
87,14000,14000,-0.19108881,B,1,11.44,53000,18.66, 36 months,18555,59.1,1,97.4,146.0071049,TRUE,,,,
88,23125,23125,0.140755435,D,0,17.57,55000,24.48, 60 months,6460,33.5,0,93.7,103.9528532,FALSE,,,,
89,22000,22000,0.14232979,D,0,17.57,50000,9.24, 60 months,3656,12.7,2,100,242.0090762,FALSE,,,,
90,14000,14000,0.11700082,D,0,16.99,39000,21.93, 60 months,5704,38.3,0,88,165.9828744,FALSE,,,,
91,9000,9000,0.119817711,C,0,13.35,55000,24.02, 36 months,8557,66.3,0,86.7,245.0317255,FALSE,,,,
92,9325,9325,0.191345477,E,0,20.99,52000,10.82, 36 months,3268,50.3,0,83.3,165.9828744,FALSE,,,,
93,15000,15000,0.047154278,A,0,8.19,60000,13.94, 36 months,13039,38.5,0,91.7,154.9764882,FALSE,,,,
94,1200,1200,0.236016801,F,0,22.99,20000,17.65, 36 months,10691,62.5,0,100,94.98346989,FALSE,,,,
95,6000,6000,0.043440201,A,0,8.19,50874.12,12.01, 36 months,4512,22.9,0,100,198.0492413,FALSE,,,,
96,7000,7000,0.156465891,E,0,18.54,25000,22.26, 36 months,8933,42.1,4,84.6,313.0084807,FALSE,,,,
97,7500,7500,0.070557348,C,0,12.99,65000,13.2, 36 months,19563,71.4,0,100,215.988008,FALSE,,,,
98,9100,9100,0.084701878,D,0,16.99,80000,17.78, 36 months,9547,59.7,0,84.6,163.9458716,FALSE,,,,
99,10000,10000,0.074389832,C,0,13.98,43350,29.65, 36 months,7337,41.2,1,94.7,88.01823446,FALSE,,,,
